,Name,Description,Also known as,Scientific name,Substitutions
0,A1 Sauce,This is a steak sauce similar to Pickapeppa and Heinz 57.,steak sauce,,"['barbecue sauce', 'ketchup']"
1,adobo sauce,,,,['Tabasco sauce']
2,Agrinion olives,"This is a large, green Greek olive with very tender flesh.",,Olea europaea,[]
3,aioli,Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,"allioli, garlic mayonnaise",,['garlic']
4,Aleppo olives,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",,Olea europaea,[]
5,Alphonso olives,"This large Chilean olive is cured in a wine or wine vinegar solution, which gives it a beautiful dark purple color and tart flavor. Its flesh is very tender and slightly bitter.",Alfonso olive,Olea europaea,"['Kalamata olives', 'Gaeta olives']"
6,aluminum foil,"This is an excellent all-purpose wrapper, able to withstand both heat and cold. It's the best choice if you're wrapping foods for freezer storage, since it works better than plastic wrap at preventing moisture loss.",tin foil,,"['plastic wrap', 'wax paper']"
7,Amphissa olives,These are dark purple Greek olives that are hard to find in the U.S. They're great for snacking.,"Amfisa olive, Amfissa olive",Olea europaea,"['Kalamata olives', 'Gaeta olives']"
8,anchovy paste,"Supermarkets carry tubes of anchovy paste, usually near the canned tuna.",,Engraulidae,"['anchovies', 'shrimp paste', 'fish sauce']"
9,apple blossoms,,,Malus domestica,"['peach blossoms', 'plum blossoms']"
10,apple butter,"Apple butter isn't made from real butter. Instead, it's made by cooking apples until the sugar in them caramelizes, turning the sauce a rich brown color. It's used as a spread, and also as a fat-free substitute in many baking recipes.","black butter, Irish black butter",Malus domestica,"['apple', 'applesauce']"
11,apple jelly,"You can use this like any other jelly, but it's often used as a glaze when roasting pork.",,Malus domestica,"['black currant jelly', 'grape jelly', 'apple juice']"
12,applesauce,"Applesauce is a purée made from cooked apples. It's often flavored with sugar, lemon juice, and spices like cinnamon and allspice. It's often served as an accompaniment to pork, sausages, and potato pancakes. It can also be used as a fat substitute in baking.",apple sauce,Malus domestica,"['apple butter', 'pumpkin purée', 'plum purée']"
13,apricot jam,,,Prunus armeniaca,"['peach jam', 'plum purée']"
14,Arauco olives,These are large green Spanish olives flavored with rosemary.,,Olea europaea,['Manzanilla olives']
15,Arbequina olives,"These are tiny green Spanish olives with a mild, smoky flavor. They're hard to find in the U.S.",,Olea europaea,['Manzanilla olives']
16,Asian barbecue sauce,"This is made with oil, soy sauce, and other seasonings. Don't confuse it with the much sweeter American barbecue sauce.",,,"['Korean barbecue sauce', 'hot chili sauce', 'chili garlic sauce']"
17,Atalanta olives,This is a muddy-green Greek olive with soft flesh.,,Olea europaea,['royal olives']
18,bamboo leaves,"Southeast Asians use these to wrap and tie rice packets before steaming.  They're hard to find fresh, but Asian markets often carry dried leaves in plastic bags. Soak them in warm water before using to prevent them from cracking.",,,['lotus leaves']
19,banana catsup,Available in Asian food stores. This brownish sauce is often colored red to resemble tomato catsup.,"banana ketchup, banana sauce",,['ketchup']
20,banana leaves,"People in the tropics use these huge leaves to line cooking pits and to wrap everything from pigs to rice.  The leaves impart a subtle anise fragrance to food and protect it while it's cooking.  Frozen leaves--once thawed--work just fine.  Boil the leaves before using them to keep them from cracking.  Look for banana leaves among the frozen foods in Asian, Hispanic, or specialty markets.",,Musa acuminata,"['aluminum foil', 'parchment paper', 'corn husks', 'hoja santa leaves', 'ti leaves']"
21,barbecue sauce,"See the Kansas City BBQ Sauce recipe, Yet Another BBQ Sauce recipe, both posted by RecipeSource.com.","barbeque sauce, BBQ sauce",,[]
22,bean sauce,"This salty brown sauce is made from fermented soybeans, and is available in cans or jars.  If you buy it in a can, transfer it into a jar.  It can then be stored indefinitely in the refrigerator. Chinese bean sauce isn't as salty as Thai bean sauce.","bean paste, brown bean paste, brown bean sauce, mo yuen shih, soybean condiment, yellow bean paste, yellow bean sauce, yuan shai shih",,"['black bean sauce', 'chili sauce', 'awase miso', 'brown rice miso']"
23,berbere sauce,This is a spicy sauce made with berbera powder and other spices.,berebere sauce,,"['hot chili sauce', 'chili garlic sauce']"
24,black bean sauce,"This is made from fermented black beans.  A variation is hot black bean sauce, which has chile paste added, and black bean sauce with garlic.
See the Asian Black Bean Sauce posting on RecipeSource.com.",,,"['bean sauce', 'chili bean paste']"
25,black currant jelly,Black currant jelly is sweeter than more common red currant jelly.,,Ribes,"['muscadine jelly', 'apple jelly', 'grape jelly']"
26,black olives,"These are olives that have been allowed to ripen on the tree. American recipes that call for black olives are probably referring to the Mission olive. Other varieties of black olives are the Aleppo, Alphonso, Amphissa, black Cerignola, Gaeta, black Greek, Kalamata, Ligurian, Lugano, Moroccan dry-cured, Niçoise, Nyons, Ponentine, and Royal.",ripe olives,Olea europaea,['green olives']
27,blueberry jam,,,Vaccinium sect. Cyanococcus,"['raspberry preserves', 'gooseberry preserves']"
28,borage,"Borage is best known for its attractive blue flowers, but Europeans sometimes use the leaves as an herb in salads and soups.  Borage has a mild flavor that's been likened to that of cucumbers.  The leaves are covered with prickly, throat-catching hairs, so it's best to either blanch them or chop them finely before serving them.",starflower,Borago officinalis,"['spinach', 'escarole', 'nasturtium', 'violet', 'rose petals']"
29,bread and butter pickles,,,,['sweet gherkin']
30,candied angelica,These are used to make decorative flower stems on cakes.,,,['marzipan']
31,candied apricot,,"abricot glacé, glace apricot, glacéed apricot",,[]
32,candied chestnuts,"A French specialty, these are whole chestnuts that are candied in a sugar syrup. They're used to make various desserts.",marrons glacés,Castanea,['chestnut cream']
33,candied citron peel,,,,['sugar']
34,candied citrus peel,,,,"['grapefruit', 'orange', 'water', 'water']"
35,candied flowers,,,,['sugar']
36,candied fruit,,"glace fruits, glacé fruits, glah-SAY",,['dried apricot']
37,candied ginger,"Candied ginger is ginger that is stored in a sugary syrup, but the name is also sometimes used for crystallized ginger, which is ginger that's been cooked in syrup, then dried out and rolled in sugar. The two are often used interchangeably.",,,['ginger jam']
38,candied grapefruit peel,,,,['grapefruit']
39,candied lemon peel,,,,['water']
40,candied orange peel,,,,['sugar']
41,candied pineapple,,,,[]
42,caper berry,Caper berries are large capers.  They're sometimes used instead of green olives to garnish martinis.,,,"['capers', 'green olives']"
43,capers,"Capers are pickled flower buds, and very salty.  You can get them pickled in brine (top photo) or salted (bottom).  Look for them in the pickle section of your grocery store, or in delis. The smallest ones are more expensive, and more highly esteemed. Rinse them before using.",,,"['pickled nasturtium buds', 'green olives', 'green pepper', 'dill pickles', 'seabean']"
