,Name,Description,Also known as,Scientific name,Substitutions
0,amaretti,"These crisp, hard cookies are traditionally made with bitter almonds.  Dessert recipes sometimes call for them to be crumbled or ground.   Amaretti de Sarnonno are considered to be the best.","amaretti biscuits, Italian almond cookies, Italian macaroons",,"['biscotti', 'ladyfingers', 'graham cracker crumbs', 'macaroon']"
1,angel food cake,"This is an airy white sponge cake made without egg yolks or any fat.  It gets its volume from stiffly beaten egg whites, and it's normally baked in a tube pan.   Many bakeries sell it ready-made.   It will keep its shape better if you cut it with a serrated knife.",angel cake,,"['sponge cake', 'génoise', 'pound cake']"
2,arepa,"This is a Venezuelan bread that's round and flat and usually made of cornmeal.  It's usually split open and stuffed with grated cheese, cooked meats, and other fillings.",,,"['corn tortilla', 'pita bread']"
3,bagel,"A Jewish specialty, these ring-shaped rolls have a dense, chewy texture.  They're usually served for breakfast after being sliced open, toasted, and smeared with cream cheese.  The dough is sometimes studded with raisins, blueberries, onions, seeds, or herbs.",,,"['English muffin', 'bialy']"
4,bagel chips,"You can buy these crunchy chips ready-made, but they're easy to make at home.",,,['olive oil']
5,baked pizza crust,This precooked pizza shell makes it easy to whip up a quick homemade pizza.  Just add some toppings and bake it briefly in an oven.  Boboli is a well-known brand.,,,"['focaccia', 'fougasse', 'bread dough']"
6,bammy,"Jamaicans love to butter these cakes and eat them with fish.  Bammies are made of grated cassava, and often soaked in coconut milk before being fried.","bammy bread, yucca cake",,[]
7,barbari bread,This flatbread hails from Iran.,"nan-e barbari, Persian flat bread",,['sangak bread']
8,bialy,These chewy Jewish rolls have indentations on top which are filled with onions.   Look for them in bagel shops.,,,['bagel']
9,biscotti,"Biscotti are cookies that are hard, dry, and intensely flavored--think of them as teething biscuits for adults.  They're made by baking a loaf of cookie dough, slicing it, and then baking the slices a second time.  They come in several flavors, including almond, chocolate, anise, and hazelnut.   They can be stored for a long time in a dry, airtight container.",,,"['mandelbrot', 'amaretti']"
10,bolillo,These are crusty Mexican sandwich rolls.,pan blanco,,"['French bread', 'tortilla']"
11,bolo de milho,This is a Brazilian corn cake.,,,['corn tortilla']
12,bread,"To learn more about different varieties of bread, click here. ",,,"['corn tortilla', 'flour tortilla', 'cheese', 'lettuce', 'sweet potato']"
13,breadcrumbs,"These are used for breading foods, topping casseroles, stuffing poultry, thickening stews,  and adding inexpensive bulk to meatloaves, hamburgers, and fish cakes.    Dry breadcrumbs are made from very dry bread, and make for a crispy, crunchy coating for fried foods.  The bread that's used to make soft or fresh bread crumbs isn't as dry, so the crumbs produce a softer coating, crust, or stuffing.   Almost any bread can be used to make breadcrumbs, but crusty French or Italian bread works especially well.",bread crumbs,Triticum aestivum,"['white bread', 'panko', 'saltine cracker', 'croutons', 'stuffing', 'cornflake crumbs', 'matzo meal', 'rice cake']"
14,breading,"Breading adds a crisp coating to fried foods. Breadcrumbs are most commonly used, but crumbs from crackers, breakfast cereals, melba toast, matzos, pretzels, and corn chips also work well. To bread meat and seafood, first dry the pieces completely, then dust them with a light coating of flour. Next dip them in a mixture of eggs mixed with a little milk, water, or oil, then dredge the pieces in the breading. Refrigerate them for about an hour before frying them.",,Triticum aestivum,"['panko', 'cracker meal', 'cornflake crumbs']"
15,breadsticks,"Italians serve these crunchy breadsticks before Italian meals, to keep their guests occupied without filling them up too much.  You can buy them plain, or flavored with sesame seeds, garlic, onion, or herbs.","grissini, Italian breadsticks",,"['Italian bread', 'French bread']"
16,breakfast cracker,These sturdy British crackers are quite bland.,,,['water cracker']
17,brioche,"This rich, slightly sweet yeast bread is made with eggs and butter, and sometimes with fruit or nuts.",,,"['challah', 'croissant', 'kugelhopf']"
