,Name,Description,Also known as,Scientific name,Substitutions
0,Abondance,"This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.",,Bos taurus,"['Gruyere', 'fontina', 'Appenzell']"
1,acidophilis milk,Friendly bacteria is reintroduced into this milk after pasteurization.,,Bos taurus,"['almond milk', 'milk 3.5%']"
2,Alouette,"This is one of several spreadable cheeses that combine cream cheese with various flavorings, like herbs, garlic, pesto, and sun-dried tomatoes.   You can set them out with crackers for guests, but your gourmet friends probably won't indulge.",,Bos taurus,"['Boursin', 'Rondelé']"
3,American cheese,These are often sold in individually wrapped sandwich slices.,"American cheese food, American pasteurized process cheese food",Bos taurus,"['Cheddar', 'Swiss cheese']"
4,Appenzell,This is a creamy and pleasantly stinky cow's milk cheese.,Appenzeller,Bos taurus,"['Emmental', 'Gruyere', 'raclette', 'fontina']"
5,asadero,"This stringy Mexican cheese melts nicely, so it's great on quesadillas. It is made from goat and cow's milk.","Chihuahua®, Oaxaca cheese, queso asadero",Bos taurus,"['mozzarella', 'jack cheese', 'Muenster', 'provolone']"
6,Asiago (aged),"This cow's milk grating cheese is similar to Parmesan and Romano, but it's sweeter. It's good on pizza. There's no need to spring for a pricy Italian Asiago--our domestic knock-offs are pretty good. Don't confuse aged Asiago with the relatively obscure fresh Asiago cheese, which is semi-soft.",,Bos taurus,"['parmesan', 'Romano', 'dry jack', 'Sapsago', 'nutritional yeast', 'black olives', 'breadcrumbs']"
7,Asiago (fresh),"Asiago is a cow's milk cheese. Don't confuse this with aged Asiago, which is a firm grating cheese.",,Bos taurus,['provolone']
8,Bavarian blue,This is a mild and creamy cow's milk German blue cheese. It's good for crumbling on salads and snacking. Paladin Bavarian Blue is a popular brand.,,Bos taurus,['Blue Castello']
9,Beaufort,"This semi-firm raw cow's milk cheese is slightly sweet and has a nice texture. It's a great melting cheese, so it's often used in fondues.",,Bos taurus,"['Emmental', 'Gruyere', 'fontina', 'Tomme Crayeuse cheese', 'Reblochon cheese']"
10,Beaumont cheese,"This French cow's milk cheese has a mild, nutty flavor",Tomme de Beaumont,Bos taurus,"['Muenster', 'Reblochon cheese', 'Havarti', 'Port Salut cheese']"
11,Bel Paese,"This is a mild, semi-soft Italian cow's milk cheese that's good with apples, pears, and fruity red wines. It's also shredded and used to make pizza, risotto, and pasta dishes.",,Bos taurus,"['fontina', 'Taleggio', 'Gouda', 'Havarti', 'Samsoe', 'Muenster', 'mozzarella', 'jack cheese']"
12,bierkäse,"This is a soft, stinky cow's milk cheese. German like to put it on rye bread along with some sliced onion, and have it with beer. It's too overpowering to serve with wine.","beer cheese, beer kaese, bierkaese, Weisslacker",Bos taurus,"['Limburger', 'Havarti']"
13,Bleu d'Auvergne,"A moist, crumbly, and somewhat salty cow's milk blue cheese from France. It's milder and cheaper than Roquefort, and it works well in salad dressings or as a snacking cheese.",,Bos taurus,"['Roquefort', 'Maytag Blue', ""Fourme d'Ambert""]"
14,Bleu de Bresse,"This blue cheese from France is made with cow's milk, and is buttery and mild. It's a safe but unexciting cheese to serve company. An American version called Bresse bleu is milder still.",BLUH-duh-BRESS,Bos taurus,"['Cambozola', 'Blue Castello', 'brie', 'Gorgonzola']"
15,Bleu de Chevre,"This French blue cheese is made with goat's milk.  It's shaped as a pyramid, and has a distinctive country (or barnyard, some would say) flavor.",Bleuet,Capra aegagrus hircus,"['Roquefort', 'Gorgonzola']"
16,Bleu de Gex,"The French have been producing this excellent but hard-to-find blue cheese since the 13th century.  Made with cow's milk, it's pungent without being overpowering.",Bleu de Septmoncel (BLUH-duh-SET-mohn-SELL),Bos taurus,['Stilton cheese']
17,Bleu des Causses,This is mild French cow's milk blue cheese.,,Bos taurus,['Roquefort']
18,Blue Castello,"This is a rich, moist, and creamy cow's milk blue cheese. It's fairly mild and a good choice for unadventurous guests.",,Bos taurus,"['Cambozola', 'Bleu de Bresse', 'Bavarian blue']"
19,boursault,"This is a soft-ripened, triple crème French cow's milk cheese that is very rich and mild. For best flavor, serve at room temperature.",,Bos taurus,"['Brillat Savarin cheese', 'Caprice des Dieux', 'Saint André cheese', 'Excelsior', 'brie', 'Camembert']"
