,Name,Description,Also known as,Scientific name,Substitutions
0,aluminum foil,"This is an excellent all-purpose wrapper, able to withstand both heat and cold. It's the best choice if you're wrapping foods for freezer storage, since it works better than plastic wrap at preventing moisture loss.",tin foil,,"['plastic wrap', 'wax paper']"
1,angel food cake pan,These usually have removable bottoms.,,,[]
2,apple corer,,,,['chef knife']
3,apple peeler and corer,,,,['paring knife']
4,apple slicer,,,,['paring knife']
5,apron,,,,[]
6,bacon press,,,,[]
7,bamboo skewers,,,,[]
8,barbecue tools,"These usually include a spatula, tongs and a fork.",,,[]
9,basting brush,,,,['bulb baster']
10,blender,,electric blender,,['food processor']
11,bottle opener,,church key,,[]
12,bowl,,small bowl,,"['orange', 'bell pepper']"
13,bread board,,,,[]
14,bread knife,,,,['chef knife']
15,broiler pan,,,,['roasting pan']
16,brushes,,"cleaning brushes, scrub brushes",,[]
17,bulb baster,,,,['basting brush']
18,bundt pan,,kugelhupf mold,,[]
19,butter muslin,This resembles a tightly woven cheesecloth and is used for straining fine particles from a liquid.,"cheese muslin, muslin cloth",,[]
20,cake board,,cake circle,,[]
21,cake pan,,layer cake pan,,[]
22,can opener,,,,[]
23,candy thermometer,,,,[]
24,casserole pot,,casserole pan,,['clay pot']
25,cast-iron skillet,,"cast-iron pan, iron pan, iron skillet",,"['frying pan', 'sauté pan']"
26,ceramic bowl,,,,['copper bowl']
27,charcoal barbecue,These require a 40 minute lead time to allow the charcoal to heat up.,hibachi,,"['gas barbecue', 'meat smoker']"
28,cheesecloth,Includes fine cheesecloth,,,[]
29,chef knife,,carving knife,,['bread knife']
30,chinois,This fits on top of a deep container and mashes food that is pressed through it.,,,[]
31,chopsticks,These are substitutes for tongs.,,,['fork']
32,citrus juicer,,"citrus press, lemon juicer",,['reamer']
33,clam knife,,"oyster knife, oyster shucker",,[]
34,clay pot,,,,"['casserole pot', 'dutch oven']"
35,cocktail shaker,This is for mixing cocktails.,,,['food storage containers']
36,cocktail strainer,These are used to shake and strain cocktails.,bar strainer,,['sieve']
37,coffee filter,,,,['paper towels']
38,coffee grinder,,,,"['blender', 'pepper mill']"
39,colander,Cooks use these to wash foods or to drain noodles or vegetables after boiling.  Large metal ones are best.,,,"['tongs', 'sieve']"
40,cookie cutter,,,,[]
41,cookie sheet,,baking sheet,,[]
42,cooking pot,,stock pot,,['casserole pot']
43,cooking spatula,,,,[]
44,copper bowl,eggs beaten in aluminum bowls can turn gray.,,,"['glass bowl', 'ceramic bowl']"
45,corkscrew,,,,['chef knife']
46,crock pot,,slow cooker,,"['cooking pot', 'casserole pot']"
47,cutting board,,,,[]
48,decorating tips,,,,[]
49,degreasing pitcher,,fat separator,,"['bulb baster', 'stirring spoon']"
50,dish towel,,,,[]
51,double boiler,,bain marie,,[]
52,dutch oven,,,,"['casserole pot', 'clay pot']"
53,egg slicer,,,,['paring knife']
