,Name,Description,Also known as,Scientific name,Substitutions
0,almond oil,Nut oils are best used in cold dishes; heat destroys their delicate flavor.,"expressed almond oil, huile d'amande, sweet almond oil",Prunus dulcis,"['hazelnut oil', 'walnut oil', 'vegetable oil', 'olive oil']"
1,annatto oil,Annatto oil adds a bright red color and some flavor to foods. It is prepared by grinding annatto seeds and mixing the powder with oil.,"achiote oil, annato oil, annatto seed oil",Bixa orellana,"['annatto seeds', 'grapeseed oil']"
2,annatto paste,Annatto paste adds a bright red color and some flavor to foods. It is prepared by grinding annatto seeds and mixing the powder with lard.,"achiote paste, annatto lard",Bixa orellana,"['lard', 'food coloring']"
3,avocado oil,,,Persea americana,['grapeseed oil']
4,bacon grease,"This is the fat that remains in the pan after cooking bacon. It's very flavorful, but high in cholesterol.",bacon fat,Sus scrofa domesticus,['lardo']
5,butter,"This is a delicious solid fat churned from milk. It's used in baking, frying, and as a spread on toast and muffins. Recipes that call for butter in most better cookbooks are referring to unsalted butter = sweet cream butter = sweet butter. Salted butter doesn't spoil as readily (the salt serves as a preservative). See also the entries for whipped butter and European-style butter.","Salted butter, sweet butter, sweet cream butter, unsalted butter",,"['olive oil', 'margarine', 'heavy cream', 'shortening', 'lard']"
6,butter powder,,,,"['butter', 'margarine']"
7,butter-flavored spray,,,,"['cooking spray', 'butter']"
8,canola oil,"Canola oil is a versatile, neutral-tasting oil that is very low in saturated fat.   Puritan is a well-known brand.","lear oil, rapeseed oil",,"['corn oil', 'peanut oil', 'vegetable oil', 'cooking spray', 'grapeseed oil', 'sunflower oil']"
9,caul fat,"Look for this in the meat sections of Asian, French, and Italian markets.  Caul fat from pork is considered superior to caul fat from lamb.",,,['bacon']
10,clarified butter,"This is butter without the milk solids, so it doesn't go rancid or smoke when heated to a high temperature. Look for jars of it in Indian markets.","AMF, anhydrous milkfat, butter oil, drawn butter, ghee",,"['butter', 'canola oil', 'vegetable oil', 'butter', 'cooking spray']"
11,coconut oil,,,Cocos nucifera,"['canola oil', 'corn oil']"
12,cooking spray,"includes vegetable oil spray, olive oil spray, and butter-flavored spray.",,,"['vegetable oil', 'olive oil', 'butter']"
13,copha,This is a shortening based on coconut oil that's commonly used in Australia. It's very hard to find in the U.S.,,,['vegetable oil']
14,corn oil,,,Zea mays,"['canola oil', 'safflower oil', 'soybean oil', 'peanut oil', 'cooking spray']"
