,Name,Description,Also known as,Scientific name,Substitutions
0,abalone,"Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.","awabi, ear shells, loco, muttonfish, muttonshells, paua, sea ears","Haliotidae,  Haliotis","['ormer', 'geoduck clam', 'conch', 'chicken breast']"
1,albacore,,"bintoro, German bonito, longfin tuna, Pacific albacore, shiro maguro, white tuna",Thunnus alalunga,['tuna']
2,American black caviar,"If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.",black sturgeon roe,,"['beluga caviar', 'hackleback roe', 'paddlefish roe', 'lumpfish roe']"
3,anchovies,"It's best to get these salted rather than canned.  Rinse the salt off before using.  Unopened canned anchovies can be stored for up to a year in a dry, cool place. Once opened, they will keep for up to two days if you wrap them well and refrigerate them.",,Engraulidae,"['anchovy paste', 'smelt', 'sardines']"
4,arctic char,"A trout relative, the arctic char is highly prized for its sweetness and tenderness. It's often roasted or smoked.",Arctic charr,Salvelinus alpinus,"['salmon', 'striped bass']"
5,ayu,Japanese fishermen tie knots around the necks of cormorants (black sea birds) and have them dive and catch these exquisite fish.  They're very sweet and delicate.,"aroma fish, ayu fish, sweetfish",Plecoglossus altivelis,['sardines']
6,Baby octopus,,"octopus, baby",Octopoda,"['octopus', 'squid', 'cuttlefish']"
7,bar clam,,"Atlantic surf clam, hen clam, sea clam, skimmer",Spisula solidissima,['quahog']
8,basa,The flesh is firm and white and milder than our catfish. This Vietnamese catfish relative has a mild flavor and firm texture.,"basa catfish, bocourti, China sole, Mekong catfish, Pacific dory, panga, pangas catfish, river cobbler, swai, tra, white roughy",Pangasius bocourti,"['catfish', 'sole', 'Chilean sea bass']"
9,bay scallops,Shopping hints: These are easier to find in the East than in the West. Frozen scallops are a good substitute for fresh.,Chinese scallops,Pectinidae,"['Calico scallops', 'sea scallop', 'shark', 'cod cheeks', 'skate']"
10,beluga caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Beluga caviar is one of the best and priciest of the caviars. The eggs are large and bluish-grey, and slightly sweet. A pasteurized version is available in jars, but fresh caviar is much better. Malossol (lightly salted) beluga is the finest, and the most expensive. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.",,Huso huso,"['hackleback roe', 'keluga caviar', 'ossetra caviar', 'sevruga caviar', 'paddlefish roe', 'bowfin roe', 'lumpfish roe']"
11,black sea bass,,,Centropristis striata,"['cod', 'red snapper', 'rockfish', 'tilefish', 'grouper']"
12,blackfish,"This category includes hogfish and cunner, which are very similar to blackfish.","cunner, hogfish, tautog, tog",Tautoga onitis,"['grouper', 'monkfish', 'red snapper', 'sheepshead', 'rockfish']"
13,blood clam,,"blood cockle, bloody clam, clam, blood",Tegillarca granosa,[]
14,blue crab,"These are found on the Atlantic coast. They're small, but otherwise similar to Dungeness crabs. When they molt, they're called soft-shelled crabs, a wonderful delicacy that can be eaten shell and all","Atlantic blue crab, Chesapeake blue crab, soft-shell crab",Callinectes sapidus,[]
15,bluefin tuna,This is the favorite for sushi. It is the most expensive.,,Thunnus,['albacore']
16,bluefish,,"elf, tailor",Pomatomus saltatrix,"['butterfish', 'whitefish', 'mackerel', 'striped bass']"
17,Bombay duck,This is a ten inch fish is native to coastal India. It is eaten fresh or salted and dried. It can have a very powerful smell.,"bombili, bummalo, loitta, lote, strange fish",Harpadon nehereus,"['smoked whitefish', 'bonito dried']"
18,bonita,,"bonita tuna, bonito ((incorrectly)), false albacore, little tuna, little tunny",Scombridae,"['albacore', 'yellowfin tuna', 'swordfish', 'shark']"
19,bonito dried,"Bonito are related to mackerel, and the Japanese dry them and use them in soups. They're often shaved into thin flakes called bonito flakes or hanakatsuo.","katsuo-bushi, katsuobushi",Ipomoea batatas,[]
20,bonito flakes,"This includes kezuribushi = kezuri-bushi, a version with smaller flakes.","dried bonito flakes, hana-katsuo, hanakatsuo, katsuobushi, kezuri-bushi, kezuribushi",Ipomoea batatas,"['anchovy paste', 'bacon']"
21,bottarga,"This Mediterranean specialty is made from the salted and sun-dried roe of either tuna (bottarga di tonno) or mullet (bottarga di muggine). You usually buy it as a sausage and shave off thin slices for hors d'oeuvres or grate it over pasta, fish, or salads. It's expensive but very tasty.","botarega, botargo, boutarque, salted mullet roe, Sardinian caviar",,"['tarama', 'smoked cod roe']"
22,bowfin roe,"This has small, very dark olive-green eggs with medium firmness. It's an inexpensive, environmentally responsible alternative to the luxury caviars from the Caspian Sea. Consider perking up the flavor with a splash of fresh lemon juice.","American black caviar, black American bowfin caviar, black sturgeon roe, choupique",,"['caviar', 'hackleback roe', 'paddlefish roe']"
23,buffalofish,The buffalo fish is a North American bottom feeding game fish. It is similar to a carp. They are long lived and can grow up to 80 lb. and 4'.,"bernard buffalo, brown buffalo, gourdhead, ictiobus, marblehead, roundhead","Catostomidae, bubalus, Ictiobus","['butterfish', 'whitefish']"
