,Name,Description,Also known as,Scientific name,Substitutions
0,A1 Sauce,This is a steak sauce similar to Pickapeppa and Heinz 57.,steak sauce,,"['barbecue sauce', 'ketchup']"
1,absinthe,"This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",absynthe,,"['Herbsaint', 'Pernod', 'anisette']"
2,acesulfame K,An artifical sweetner. Popular brands are Sunett and Sweet One.,"Sunnett, Sweet One",,"['advantame', 'aspartame', 'saccarin', 'sucralose', 'Neotame']"
3,acidulated water,"This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.",,,['water']
4,adobo sauce,,,,['Tabasco sauce']
5,advantame,An artifical sweetner.,,,"['acesulfame K', 'aspartame', 'saccarin', 'sucralose', 'Neotame']"
6,African bird pepper,This is the North African equivalent of our cayenne pepper.,,,['cayenne pepper dried']
7,aioli,Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,"allioli, garlic mayonnaise",,['garlic']
8,ajwain,"These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.","ajowan, ajowan seed, ajwain seed, ajwan, ajwon, bishop's weed, carom seed",,"['thyme', 'cumin', 'caraway seed']"
9,Aleppo pepper,,"Aleppo chili, Aleppo chilli, Halab pepper, Halaby pepper, Near Eastern pepper, pul biber, Turkish pepper, Turkish pepper flakes",,['cayenne pepper - ground']
10,alexanders,Alexanders was a widely used vegetable for centuries. It grows naturally mostly in coastal areas through out Europe and the Mediterranean. Alexanders is attractive because the green shoots are available in the late winter. It has fallen out of favor.,"agrioselino (Greek), alisander, baldiran (Turkey), macerone (Italian), wild celery",Smyrnium olusatrum,"['watercress', 'celery', 'parsley']"
11,allspice,"Allspice comes from a single tree, but it tastes like a mixture of cinnamon, cloves, and nutmeg.  You can buy it already ground, but for better flavor and a longer shelf life, buy the berries and grind them yourself.","clove pepper, Jamaica pepper, myrtle pepper, newspice, pimento, pimiento, toute-epice",,"['cinnamon', 'clove', 'nutmeg']"
12,almond butter,"Almond butter is grittier and more expensive than peanut butter, but it can substitute for peanut butter in many recipes.",,Prunus dulcis,"['almond', 'peanut butter', 'cashew butter']"
13,almond extract,"This is made with almond oil and alcohol, and it's especially good in cookies and cakes. It's potent, so recipes usually call for no more than a teaspoon. Bitter almond extract is even stronger.",,Prunus dulcis,"['vanilla extract', 'almond liqueur', 'bitter almond']"
14,almond filling,This sweet filling is used to make pastries and cakes.,,Prunus dulcis,"['almond paste', 'marzipan', 'hazelnut paste']"
15,almond paste,"This is a paste made with finely ground blanched almonds, sugar, glycerin, and sometimes almond extract.   Bakers use it to make cakes and cookies.   Bitter almond paste is flavored with oil of bitter almonds, and is worth seeking out if you plan to make amaretti.  Look for tubes or cans of it among the baking supplies at your supermarket.",Bitter almond paste,Prunus dulcis,['marzipan']
16,amchoor,"This is made from sun-dried mangoes, and it's used as a souring agent or to tenderize meats.  Indian or Middle Eastern grocery stores carry it.","aamchur, amchor, amchur, dried green mango, dried mango powder, green mango powder, umchoor",,"['lemon juice', 'lime juice', 'tamarind', 'mango', 'papaya']"
17,anchovy paste,"Supermarkets carry tubes of anchovy paste, usually near the canned tuna.",,Engraulidae,"['anchovies', 'shrimp paste', 'fish sauce']"
18,angelica,"Angelica is prized for its crunchy stems, which are often candied and used to decorate baked goods.  You can also use the leaves and stems to add a celery flavor to liqueurs, sauces, and vegetable side dishes.","archangel, ground ash, masterwort",Angelica,"['lovage', 'tarragon']"
19,Angostura® bitters,"This famous rum-based brand of bitters was first developed in the 1800s by Simon Bolivar's personal physician. It's 45% alcohol, and comes in small brown bottles with yellow caps. It's now produced in Trinidad.","Angostura aromatic bitters, aromatic bitters",,"[""Peychaud's bitters"", 'Fernet Branca', 'orange bitters', 'Worcestershire sauce']"
20,anise basil,This is used in Southeast Asia.,"bai horapha, húng qu?, licorice basil, Thai basil","Ocimum basilicum, licorice","['holy basil', 'mint']"
21,anise extract,"This tastes like licorice, and it's typically used to flavor cakes and cookies.",,Pimpinella anisum,"['anise oil', 'anise-flavored liqueurs', 'anise seed', 'vanilla extract']"
22,anise oil,"This imparts a licorice flavor to foods. Look for it near the spices in large supermarkets or in candy supply stores or pharmacies. You can store flavoring oils indefinitely in a cool, dark place.",,Pimpinella anisum,['anise extract']
23,anise seed,"Cooks use anise seed to impart a licorice flavor to baked goods, liqueurs, and candies.","anis, aniseed",Pimpinella anisum,"['fennel seed', 'star anise', 'caraway seed', 'tarragon']"
24,annatto seeds,"Annatto seeds don't have a lot of flavor, but they impart a rich reddish-orange color to stews and sauces. Look for the seeds, either whole or ground, in Latin American or Caribbean markets. To extract the color, steep the seeds in boiling water for about 20 minutes, then discard the seeds.","achiote seed, achote seed, achuete seed, annotto seed, atsuete seed, bija, bijol, roucou",Bixa orellana,"['food coloring', 'paprika', 'turmeric']"
25,apéritif,"Apéritifs are alcoholic drinks that, like appetizers, are served before dinner to perk up the appetite and wake up the taste buds. Examples include fortified wines, herbal and bitter liqueurs, and sparkling wines. Europeans often prefer these over cocktails.","aperitif, apertivo",,[]
26,apple brandy,"This exquisite brandy has a soft apple fragrance. Calvados = calva (cal-VAH-dohs) is the French version, applejack = apple jack is the inferior American version. Calvados is ranked much like cognac. The very best Calvados are labeled Napoleon, Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP, Vieille Reserve, or VO. Next come Vieux or Reserve Calvados, then those with three stars or three apples on their labels.","apple jack (is the inferior American version), applejack (is the inferior American version), calva (cal-VAH-dohs the French version), Calvados (cal-VAH-dohs the French version), cider brandy, eau-de-vie de cidre, eau-de-vie de marc de cidre",,"['pear brandy', 'apple juice']"
27,apple butter,"Apple butter isn't made from real butter. Instead, it's made by cooking apples until the sugar in them caramelizes, turning the sauce a rich brown color. It's used as a spread, and also as a fat-free substitute in many baking recipes.","black butter, Irish black butter",Malus domestica,"['apple', 'applesauce']"
28,apple cider,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple juice']
29,apple jelly,"You can use this like any other jelly, but it's often used as a glaze when roasting pork.",,Malus domestica,"['black currant jelly', 'grape jelly', 'apple juice']"
30,apple juice,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple cider']
31,apple pie spice,,,,['cardamom']
32,applesauce,"Applesauce is a purée made from cooked apples. It's often flavored with sugar, lemon juice, and spices like cinnamon and allspice. It's often served as an accompaniment to pork, sausages, and potato pancakes. It can also be used as a fat substitute in baking.",apple sauce,Malus domestica,"['apple butter', 'pumpkin purée', 'plum purée']"
33,apricot brandy,"This is distilled from apricot juice. Brands include the French Abricotine, and the Hungarian Barack Pálinka.","Abricotine, barack, Barack Pálinka",,"['apricot liqueur', 'cherry brandy', 'orange liqueur']"
34,apricot jam,,,Prunus armeniaca,"['peach jam', 'plum purée']"
35,Armagnac,"This French brandy is similar to cognac, but with a more pronounced flavor.   Since their quality varies, Armagnac brandies don't share cognac's exalted reputation, but a good Armagnac compares favorably with any cognac.",,,['cognac']
36,aromatized wine,"These are wines, like vermouth and retsina, that have been flavored, usually with herbs and spices.",flavored wine,,[]
37,asafetida,This powdered gum resin imparts a very strong onion-garlic flavor to Indian dishes. Use it sparingly—a little goes a long way.  Look for it in Indian or health food stores or in the spice section of larger supermarkets.,"asafoetida, asafoetida powder, devil's dung, ferula, foetida, food of the gods, heeng, hing, imguva",,"['garlic powder', 'onion powder']"
38,asem candis,This is a souring agent used in Indonesia.  It's very hard to find,,,['kokum']
39,Asian barbecue sauce,"This is made with oil, soy sauce, and other seasonings. Don't confuse it with the much sweeter American barbecue sauce.",,,"['Korean barbecue sauce', 'hot chili sauce', 'chili garlic sauce']"
40,aspartame,An artifical sweetner. Popular brands are Equal and Nutrasweet.,"Equal, Nutrasweet",,"['acesulfame K', 'advantame', 'saccarin', 'sucralose', 'Neotame']"
41,avocado leaves,"Mexican cooks use these to impart an anise-like aroma to foods.  They're often used as wrappers, or crumbled into stews.  Toast the leaves before using.",hoja de aguacate,Persea americana,"['banana', 'hoja santa leaves', 'fennel', 'maguey leaves']"
42,baharat,"This is mixture of ginger, rose buds, and numerous spices. It's often used to season meats.",,,[]
43,bai-toey,"This name is also used for screwpine leaves.  Bai-toey leaves are about four inches in diameter, and smell a bit like a dentist's office.  Look for them in Southeast Asian markets.","bai toey, bai touy",,[]
44,balsamic vinegar,"This enormously popular Italian vinegar is prized for its sweet, fruity flavor and mild acidity. It's terrific for deglazing pans, dressing salads and vegetable dishes, and for seasoning everything from grilled meat to poached fruit. Its quality varies enormously. Expensive artisan-made balsamic vinegars (labeled traditional or tradizionale) are aged in wood barrels for at least 12 years and can cost over $100 per bottle. They're exquisitely complex, syrupy and only slightly acidic. Those who can afford them often drink them as they would a vintage port, or use them in desserts, where their sweetness and subtleties can be shown off to best advantage. Cheaper commercial brands are watered down with wine vinegar and artificially colored, but they're fine for most recipes.","aceto balsamico, aceto di balsamico",,"['brown rice vinegar', 'Chinese black vinegar', 'sugar', 'fruit vinegar', 'sherry vinegar']"
45,bamboo salt,"This is made by roasting sea salt in bamboo cylinders plugged with yellow mud.  The salt absorbs minerals from the bamboo and mud, which in turn leach the salt of impurities.  Look for plastic bags of it in Korean markets.","jook yeom, jukyom, parched salt",,['sea salt']
46,banana catsup,Available in Asian food stores. This brownish sauce is often colored red to resemble tomato catsup.,"banana ketchup, banana sauce",,['ketchup']
47,Banyuls,This is a red dessert wine that's produced in France.  It's one of the few wines that's good with chocolate.,,,"['port', 'black muscat wine', 'porter ale']"
48,baobab leaves,"African cooks use leaves from the massive baobab tree to thicken their stews. Like okra, the leaves give the dish a slimy texture that's characteristic of West African stews.",,Adansonia digitata,"['okra', 'ogbono']"
49,barbecue sauce,"See the Kansas City BBQ Sauce recipe, Yet Another BBQ Sauce recipe, both posted by RecipeSource.com.","barbeque sauce, BBQ sauce",,[]
50,Barbera,"This is a hearty red wine that's usually blended into jug wines, but sometimes sold as an inexpensive varietal wine",,,"['Chianti', 'Zinfandel']"
51,barley malt syrup,"This tastes a bit like molasses, and it's not as sweet as sugar or honey. It's mostly used to make beer, but it's also used to make breads or other baked goods.","barley syrup, dark malt syrup, extract of malted barley, malt syrup, malted cereal syrup",,"['molasses', 'brown rice syrup', 'maple syrup']"
52,basa genep, See the Basa Genep posting on RecipeSource.com.,,,[]
53,basil,"Basil is widely used in Mediterranean countries, where it flavors everything from pasta sauces to pesto, and in Southeast Asia, where it's often stir-fried with other ingredients.  There are numerous varieties, ranging from the more pungent Asian basils to the sweeter and milder European varieties.   Use dried basil only in a pinch--it's not nearly as flavorful as fresh.","great basil, sweet basil",Ocimum basilicum,"['oregano', 'chervil', 'tarragon', 'summer savory', 'celery leaves', 'cilantro', 'mint', 'Italian seasoning', 'dill leaf', 'thyme']"
54,basil seed,Look for it in Southeast Asian markets.,sweet basil seed,Ocimum basilicum,[]
55,bay leaf,"Bay leaves are a staple of Mediterranean cuisines, lending a woodsy flavor to sauces, stews, and grilled meats.   It's best to add whole leaves, then remove them before serving the dish.  The Turkish bay leaf is smaller and less potent than the California bay leaf, but more highly prized due to the complexity of its flavor.  Dried leaves are a good substitute for fresh.","bay laurel leaf, laurel leaf, sweet bay laurel leaf, Turkish bay",Laurus nobilis,"['Indian bay leaf', 'herbes de Provence', 'sage', 'California bay leaf', 'oregano', 'thyme', 'boldo leaves', 'juniper berries']"
56,bayberry juice,,,,[]
57,bean sauce,"This salty brown sauce is made from fermented soybeans, and is available in cans or jars.  If you buy it in a can, transfer it into a jar.  It can then be stored indefinitely in the refrigerator. Chinese bean sauce isn't as salty as Thai bean sauce.","bean paste, brown bean paste, brown bean sauce, mo yuen shih, soybean condiment, yellow bean paste, yellow bean sauce, yuan shai shih",,"['black bean sauce', 'chili sauce', 'awase miso', 'brown rice miso']"
58,Beau Monde seasoning,"This is a seasoning mix manufactured by Spices Islands that combines salt, onion, and celery flavors.",,,"['celery salt', 'Bon Appetit seasoning', 'onion powder', 'celery salt', 'bouquet garni']"
59,Beaujolais,"This is a region in Eastern France that produces light, fruity, fresh-tasting red wines that are relatively low in alcohol.  Beaujolais wines should be drunk while young.",,,"['Gamay', 'Pinot Noir', 'Burgundy wine (red)', 'Chianti', 'Barbera']"
60,berbere,This is a spicy chili blend.,Ethiopian spice mix,,['cayenne pepper - ground']
61,berbere sauce,This is a spicy sauce made with berbera powder and other spices.,berebere sauce,,"['hot chili sauce', 'chili garlic sauce']"
62,bergamot herb,,"bee balm, horsemint, oswego tea",Monarda fistulosa,['mint']
