,Name,Description,Also known as,Scientific name,Substitutions
0,ababai,"Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown.",,,"['papaya', 'mango']"
1,abiu,The round smooth yellow abiu fruit has a creamy texture and the sweet flavor of caramel or vanilla. It is native to the Amazon basin. The abiu fruit has a short shelf life.,"caimitt, luma",Pouteria caimito,['sapodilla']
2,acai berry,Acai berries are from the acai palm that is native to the Amazon Basin in Brazil. The small round dark purple fruit grows in clusters. Acai berries have a slight bitter taste. Long enjoyed in Brazil Acai berries have become increasing popular world wide over the last several decades. It is high in antioxidants.,"açaí, assai, huasai",Euterpe oleracea,"['blueberry', 'blackberry']"
3,acerola,"These are very rich in vitamin C, and somewhat acidic. You can eat them out of hand, but they're better suited for making preserves.","acerola cherry, Barbados cherry, Puerto Rican cherry, West Indian cherry, wild crepe myrtle",Malpighia emarginata,['cherry']
4,achacha,Achacha fruit is orange and has a sweet tart lemony taste. The fruit is oval and one to two inches in diameter. The achacha tree is native to the Amazon basin.,achachairú,Garcinia humilis,"['mangosteen', 'mango']"
5,ackee,"The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.","achee, akee, vegetable brains, vegetable egg",,"['avocado', 'chickpea', 'almond']"
6,acorn squash,"This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.","Des Moines squash, pepper squash","Cucurbita pepo, turbinata","['buttercup squash', 'butternut squash', 'banana squash', 'turban squash', 'Hubbard squash', 'pumpkin', 'green papaya', 'golden nugget squash']"
7,Agrinion olives,"This is a large, green Greek olive with very tender flesh.",,Olea europaea,[]
8,ají panca chili - dried,"This reddish-brown dried chili is fruity, mild, and a little smoky. ",aji panca chile,Capsicum chinense,['pasilla chili']
9,ajwa dates,"These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.","ajwa al madina, kurma ajwa",Phoenix dactylifera,"['dates', 'raisins', 'dried fig']"
10,Aleppo olives,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",,Olea europaea,[]
11,Alphonso olives,"This large Chilean olive is cured in a wine or wine vinegar solution, which gives it a beautiful dark purple color and tart flavor. Its flesh is very tender and slightly bitter.",Alfonso olive,Olea europaea,"['Kalamata olives', 'Gaeta olives']"
12,ambrosia apple,"Crisp and juicy, this is a great apple for snacking.",,Malus domestica,"['honeycrisp apples', 'Fuji apple', 'Pink Lady apple']"
13,ambrosia melon,"This looks and tastes like a cantaloupe, but the flesh is a brighter orange.",,"Cucumis melo, ambrosia",['cantaloupe']
14,American eggplant,"This is the familiar large, dark purple, pear-shaped variety. Choose small or medium-sized eggplants (these have fewer bitter seeds) with healthy-looking green stems that are firm to the touch, but not too hard. Avoid mushy ones. Store them in the refrigerator.",globe eggplant,Solanum melongena,"['Italian eggplant', 'Japanese eggplant']"
15,Amphissa olives,These are dark purple Greek olives that are hard to find in the U.S. They're great for snacking.,"Amfisa olive, Amfissa olive",Olea europaea,"['Kalamata olives', 'Gaeta olives']"
16,Anaheim chili,"These large, mild chiles are perfect for chiles rellenos. Mexican cooks also like to dice or purée them, and then add them to sauces, soups, and casseroles. They have a tough skin, but it peels off easily if you first char the chiles over a flame and then steam them in a paper bag for several minutes. Anaheims are available year-round, but they're best in the summer. You can occasionally find red Anaheims, which are riper and slightly hotter. When dried, this pepper is called a chile Colorado.","Anaheim chile, Anaheim chili pepper, Anaheim chilli, California green chili, california red chili (when mature and red), chile colorado (when mature and red), chile verde (CHEE-lay VER-day), long green pepper",,"['New Mexico green chili', 'poblano pepper ', 'green chile canned']"
17,ancho chili,"These mild, dried poblano peppers have a sweet, fruity flavor and are a staple in Mexican cuisine. They're brownish-black and wrinkled, and commonly used in adobos, moles, salsas, and various sauces.","ancho chile, ancho chino, chile color, chile colorado, dried poblano, pasilla chile (incorrectly), pasilla rojo",Capsicum annuum,"['mulato chili ', 'pasilla chili', 'poblano pepper ', 'California chili ', 'New Mexico red chili']"
18,angled loofa,"A native of Pakistan, this mild vegetable has a slightly bitter edge that pairs well with sweet and acidic ingredients in stir-fry dishes. You can also eat it raw, or dry it to make a loofa sponge.You can leave the peel on, but some people find the flavor off-putting. Remove any large seeds if you wish to cut the bitterness.","angled loofah, angled luffa, Chinese loofah, Chinese okra, dish cloth gourd, luffa angled gourd, luffa gourd, ribbed loofah, ridge gourd, ridged gourd, silk gourd, silky gourd, sinkwa towelsponge, sponge gourd, vegetable gourd",,"['zucchini', 'cucumber']"
19,Anjou pear,"These economical pears aren't as tasty as some of the other varieties, but they're still good for both eating and cooking. The peel stays light green even when the pear is ripe.","Beurré d'Anjou, d'Anjou pear","Pyrus communis, D'Anjou","['Asian pear', 'Bartlett pear']"
20,apple butter,"Apple butter isn't made from real butter. Instead, it's made by cooking apples until the sugar in them caramelizes, turning the sauce a rich brown color. It's used as a spread, and also as a fat-free substitute in many baking recipes.","black butter, Irish black butter",Malus domestica,"['apple', 'applesauce']"
21,apple cider,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple juice']
22,apple green eggplant,"These eggplant resemble green apples, and are mild and sweet. You don't need to peel them.","applegreen eggplant, green apple eggplant",Solanum melongena,[]
23,apple jelly,"You can use this like any other jelly, but it's often used as a glaze when roasting pork.",,Malus domestica,"['black currant jelly', 'grape jelly', 'apple juice']"
24,apple juice,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",,Malus domestica,['apple cider']
25,applesauce,"Applesauce is a purée made from cooked apples. It's often flavored with sugar, lemon juice, and spices like cinnamon and allspice. It's often served as an accompaniment to pork, sausages, and potato pancakes. It can also be used as a fat substitute in baking.",apple sauce,Malus domestica,"['apple butter', 'pumpkin purée', 'plum purée']"
26,apricot,"Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.",,Prunus armeniaca,"['aprium', 'pluot', 'peach', 'nectarine']"
27,apricot jam,,,Prunus armeniaca,"['peach jam', 'plum purée']"
