,Name,Description,Also known as,Scientific name,Substitutions
0,abura-age,"These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.","aburage, inariage, usu-age, usuage",Glycine max,['deep-fried tofu']
1,acorn,"These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them.",oaknut,Quercus,"['hazelnut', 'chestnut']"
2,acorn starch,Look for this in Korean markets.,,Quercus,[]
3,almond,"Almonds have a crunchy texture and a rich, delicate flavor that's especially good in desserts, like candy, ice cream, tortes, and coffee cake. To intensify their flavor, toast them on a baking pan in a 325° degree oven, stirring occasionally, until they're golden (about 15 minutes for whole almonds).  You can buy almonds shelled or unshelled, blanched, sliced, slivered, ground, or chopped.",sweet almond,Prunus dulcis,"['hazelnut', 'Brazil nut', 'cashew', 'pistachio nut']"
4,almond butter,"Almond butter is grittier and more expensive than peanut butter, but it can substitute for peanut butter in many recipes.",,Prunus dulcis,"['almond', 'peanut butter', 'cashew butter']"
5,almond filling,This sweet filling is used to make pastries and cakes.,,Prunus dulcis,"['almond paste', 'marzipan', 'hazelnut paste']"
6,almond flour,,,Prunus dulcis,['almond meal']
7,almond meal,"Specialty stores carry this, but you can get it for less at Middle Eastern markets.",,Prunus dulcis,"['almonds, blanched', 'almond flour']"
8,almond paste,"This is a paste made with finely ground blanched almonds, sugar, glycerin, and sometimes almond extract.   Bakers use it to make cakes and cookies.   Bitter almond paste is flavored with oil of bitter almonds, and is worth seeking out if you plan to make amaretti.  Look for tubes or cans of it among the baking supplies at your supermarket.",Bitter almond paste,Prunus dulcis,['marzipan']
9,"almonds, blanched","Shelled almonds have a slightly bitter brown skin which can be removed by blanching them.  To do this, drop shelled almonds into boiling water, remove the pan from the heat source and let it stand for two minutes, then drain the almonds and rub off the skins.  Many cooks prefer to skip this step and buy their almonds already blanched.",blanched almonds,Prunus dulcis,"['lotus seeds', 'almond meal', 'candlenut', 'gingko nut', 'pistachio nut']"
10,anasazi beans,"These heirloom beans are sweet, fast-cooking, and reputed to cause less flatulence than other  bean varieties.  They're great for making refried beans.","frijol conejo, little cow, rabbit bean","Phaseolus vulgaris, anasazi","['cranberry bean', 'pinto bean', 'cranberry bean']"
11,appaloosa bean,These heirloom beans have markings like Appaloosa ponies. They're often used to make chili and soups.,purple appaloosa bean,Phaseolus vulgaris,"['pinto bean', 'black bean']"
12,atsu-age,"This is a cake of pressed tofu that has been deep-fat fried, giving it a crisp and meaty exterior and a soft interior.  The Japanese like to cut it into cubes and use it in stir-fries and soups.   Before using, you should blanch and drain it, then prick it with a toothpick so that it will better absorb other flavors.  Atsu-age is widely available in Asian markets.","atsuage, nama-age",Glycine max,"['abura-age', 'deep-fried tofu', 'pressed tofu']"
13,awase miso,This is a fairly mild blend of red and white miso that's often used for vegetable soups.,,Glycine max,['white miso']
14,azuki bean,"The Japanese use these small red beans to make sweet red bean paste, but they're also good in rice dishes or salads.  Azuki beans are sweet and relatively easy to digest, so they won't make you as gassy as other beans.  They also don't take as long to cook.","aduki bean, adzuki bean, asuki bean, feijao bean, field pea, red chori, red Oriental bean, Tiensin red bean",Vigna angularis,"['black azuki bean', 'red kidney bean', 'Tolosana bean']"
15,barley miso,"Made from barley, it's reddish-brown in color and a bit sweeter than other dark misos.",mugi miso,Hordeum vulgare,"['awase miso', 'red miso']"
16,bayo bean,,,,['red bean']
17,bean paste,This name is used for both bean sauce and miso.,miso,,['bean sauce']
18,bean stick,"This is made from the skin that forms on the top of heated soy milk.   It's rich in protein, and used by Chinese and Japanese cooks in soups.  Look for it in Asian food stores.","bamboo yuba, bean curd stick, Chinese yuba, dried bean curd stick, dried bean stick, fu jook pei",Glycine max,['yuba']
19,beechnut,"Beechnuts are small, triangular nuts. They're usually roasted.","beech nut, beechmast",Fagus,['hazelnut']
20,beluga lentil,"These glisten when they're cooked, which makes them look like beluga caviar.  They're great in soups or salads.","beluga black lentil, black beluga lentil, petite beluga lentil",,['French green lentils']
21,bitter almond,"Unprocessed bitter almonds have a more intense flavor than ordinary almonds, but they aren't available in the United States since they're mildly toxic if eaten raw. Instead, they're processed and used to make oil of bitter almonds, almond extract, almond liqueurs, and orgeat syrup. This name is often used (incorrectly) for the Chinese almond.",,Prunus dulcis,"['Chinese almond', 'bitter almond', 'almond', 'almond']"
22,black azuki bean,"This is a black version of the more common red azuki bean.  Like their red relatives, black azuki beans are sweet and relatively easy to digest, so they won't make you as gassy as other beans.  They also don't take as long to cook.","asuki bean, black aduki bean, black adzuki bean",Vigna angularis,['azuki bean']
23,black bean,"These beans are a staple of Latin American and Caribbean cuisine, where they're used to make side dishes, soups, bean dips, and salads.  They have a strong, earthy flavor, so they're often combined with assertive flavorings.  Don't confuse black beans with fermented black beans.","black turtle bean, frijole negro, Mexican black bean, Spanish black bean, turtle bean, turtle soup bean","Phaseolus vulgaris, alack turtle","['appaloosa bean', 'calypso bean', 'soybean', 'azuki bean']"
24,black chickpeas,"These are more rust-colored than black, and have a nutty flavor.  Look for them in Indian markets.","Bengal gram, kala channa",Cicer arietinum,['chickpea']
25,black walnut,"These are hard to shell, but tastier than ordinary walnuts. Bakers use them to take their fudge and cookies up a notch.",,Juglans nigra,['walnut']
26,black-eyed pea,"Originally from China, these chewy peas were common fare on slave plantations.   They're still popular in the South, where they're traditionally eaten on New Year's Day or combined with rice and sausage to make Hoppin' John.  They don't need soaking and cook fairly quickly.  Don't overcook them, or they'll get mushy.","black-eye bean, black-eye pea, black-eyed suzy, chawli, China bean, cowpea, crowder pea, lobhia, lombia, poor man's pea, Southern pea",Vigna unguiculata,"['fresh black-eyed pea', 'yellow-eyed pea', 'pigeon pea', 'green pea', 'Lentils']"
27,bolita bean,,,,"['pinto bean', 'anasazi beans']"
28,Brazil nut,"These nuts come from the Amazonian rainforest, and they're rich in protein, omega-3 fatty acid, and calcium.  They're prone to rancidity, so store them in the refrigerator or freezer if you plan to keep them for awhile.  It's easier to shell them if you first heat them in a 350° oven for about 15 minutes.","cream nut, para nut",Bertholletia excelsa,"['macadamia nut', 'paradise nut', 'almond', 'pecan']"
29,breadnut seeds,"These seeds come from breadnuts, which are seeded versions of breadfruit.",,Artocarpus altilis,"['jackfruit seed', 'chestnut']"
30,brown bean,,Egyptian brown beans,,['dried fava bean ']
31,brown lentil,"These are the standard khaki-colored lentils you see on grocery shelves everywhere.  They tend to get mushy if overcooked.  If you want them to be firm, add oil to the cooking water and cook the lentils just a short while, say 15 minutes.","continental lentil, Egyptian lentil, German lentil, green lentil, Indian brown lentil",Lens culinaris,"['French green lentils', 'toor dal', 'red lentil']"
32,brown rice miso,,genmai miso,Oryza,['bean sauce']
33,brown speckled cow bean,These heirloom beans are great in soups.,speckled brown cow bean,,[]
34,butternut,This walnut relative is hard to find outside of New England.,white walnut,Juglans cinerea,['walnut']
35,calypso bean,Cooking these beautiful beans in lots of water helps keep them from losing their distinctive coloring.,"orca bean, yin yang bean","Phaseolus vulgaris, calypso","['cannellini bean', 'black bean']"
36,candied chestnuts,"A French specialty, these are whole chestnuts that are candied in a sugar syrup. They're used to make various desserts.",marrons glacés,Castanea,['chestnut cream']
