,Name,Description,Also known as,Scientific name,Substitutions
0,absinthe,"This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",absynthe,,"['Herbsaint', 'Pernod', 'anisette']"
1,acidophilis milk,Friendly bacteria is reintroduced into this milk after pasteurization.,,Bos taurus,"['almond milk', 'milk 3.5%']"
2,acidulated water,"This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.",,,['water']
3,advocaat,This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,"Bols, Warninks",,"['eggnog', 'Irish cream liqueur']"
4,ale,"There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.","pale ale, porter, stout",,"['brown ale', 'India pale ale', 'porter ale', 'stout']"
5,almond liqueur, Almond liqueur is excellent on ice cream or in coffee.,,,"['amaretto', 'almond extract', 'hazelnut liqueur']"
6,almond milk,Look for this in aseptic containers. Shake well before using!,,Prunus dulcis,"['vanilla extract', 'rice milk']"
7,amaretto,"This is a brandy-based liqueur that's flavored with almonds and apricot pits.   It complements chocolate, coffee, and fruit especially well.",,,"['almond liqueur', 'almond extract', 'hazelnut liqueur']"
8,amber rum,"This is similar to white rum, but has a stronger flavor.  Most of it is made in Puerto Rico, Trinidad, Barbados, and the Virgin Islands.
Bacardi, Ronrico, and DonQ are popular brands.","añejo rum, brown rum, gold rum",,"['white rum', 'dark rum', 'whiskey', 'cognac']"
9,Amer Picon,"This is a bitter French apéritif that's usually served with water and a sweetener, or sometimes mixed with beer.",,,"['Lillet', 'Dubonnet', 'Byrrh', 'Punt è Mes', 'Suze']"
10,Angostura® bitters,"This famous rum-based brand of bitters was first developed in the 1800s by Simon Bolivar's personal physician. It's 45% alcohol, and comes in small brown bottles with yellow caps. It's now produced in Trinidad.","Angostura aromatic bitters, aromatic bitters",,"[""Peychaud's bitters"", 'Fernet Branca', 'orange bitters', 'Worcestershire sauce']"
11,anise,"This is a name sometimes given to drier anise-flavored liqueurs, like pastis, ouzo, and arak.","anesone, aniseed",Pimpinella anisum,['anisette']
12,anisette,This French liqueur is flavored with anise seeds.  It's sweeter and lower in alcohol than other anise-flavored liqueurs.  Marie Brizard is a well-respected brand.,,,"['anise', 'anise extract', 'Pernod', 'ouzo', 'pastis', 'sambuca']"
13,apéritif,"Apéritifs are alcoholic drinks that, like appetizers, are served before dinner to perk up the appetite and wake up the taste buds. Examples include fortified wines, herbal and bitter liqueurs, and sparkling wines. Europeans often prefer these over cocktails.","aperitif, apertivo",,[]
