,Name,Description,Also known as,Scientific name,Substitutions
0,abruzzese sausage,This a dry sausage from the abruzzo region of central Italy.,abruzzo sausage,,[]
1,alligator,"Alligator meat is lean and mild and people say it tastes like a combination of pork, chicken, and rabbit.  The best meat comes from the tail.",,Alligator mississippiensis,"['turtle', 'chicken']"
2,Alpino salami,This is an Italian-style salami.,,,['salami']
3,American bacon,,,Sus scrofa domesticus,"['pancetta', 'bacon bits, imitation', 'salt pork', 'vegetarian bacon']"
4,andouille,"This is a spicy smoked Cajun sausage that's used in jambalaya and gumbo. Don't confuse it with andouillette, a French sausage that's made from tripe.","Cajun andouille, Louisiana andouille",,['kielbasa']
5,andouillette,"This tripe sausage has an unpleasant aroma and an assertive flavor, but while it's definitely not a crowd-pleaser, it's acquired something of a cult following. Larger sausages are called French andouille.",,,"['French andouille sausage', 'Italian sausage']"
6,antelope,"Antelope are related to goats, but the meat resembles strongly-flavored venison.","American antelope, prairie antelope, pronghorn",Antilocapra americana[,['venison']
7,Ardennes ham,This is an air-dried ham that's similar to prosciutto.,,Sus scrofa domesticus,"['prosciutto', 'Bayonne ham', 'Westphalian ham']"
8,bacon,"Bacon is a very fatty slab taken from the underside of a pig.  The bacon sold in markets is usually cured and smoked, but it's also possible to buy uncured fresh bacon = pork belly = side pork.  Smoked bacon is often fried and served with eggs or in sandwiches, or it's sometimes wrapped around lean meats to keep them moist while they're cooking.","American bacon, fresh bacon, pork belly, side pork, streaky bacon",Sus scrofa domesticus,"['turkey bacon', 'vegetarian bacon', 'bacon bits, imitation', 'ham', 'Canadian bacon', 'pancetta', 'salt pork', 'fatback']"
9,"bacon bits, imitation",This is soy protein that's flavored to taste like bacon.  It's cheaper and lower in fat than real bacon.,,Glycine max,"['bacon', 'sushi nori', 'turkey bacon', 'vegetarian bacon']"
10,banger,Bangers are a mild British pork sausage.,,Sus scrofa domesticus,"['hot dog', 'bockwurst']"
11,basturma,This Armenian specialty consists of beef that's marinated in spices and air-dried.,"basterma, bastirma, pasterma, pastirma",Bos taurus,[]
12,bauerschinken,The name means farmer's ham.,,Sus scrofa domesticus,['prosciutto']
13,bauerwurst,This is a chunky German farmer's sausage that's often grilled and served on a bun or cooked with sauerkraut.,bauernwurst,,['bratwurst']
14,Bayonne ham,This boneless French ham is similar to prosciutto.,jambon Bayonne,Sus scrofa domesticus,"['prosciutto', 'York ham', 'Ardennes ham', 'Westphalian ham']"
15,bear,"Compared with beef, bear is high in protein and low in fat and calories.  Make sure you cook it thoroughly--it's possible to contract trichinosis from undercooked bear meat.",,Ursus americanus,"['Beef', 'elk', 'moose']"
16,beef 7-bone pot roast,"This is a tough cut of meat, so it's usually braised or cooked in liquid to tenderize it.  A steak from this roast is called a 7-bone steak.","7-bone pot roast, 7-bone roast, center cut pot roast, chuck roast center cut",Bos taurus,"['beef arm roast', 'beef blade roast']"
17,beef 7-bone steak,"This is an economical steak cut from a 7-bone pot roast. It's rather tough, so your best bet is to braise it. If you insist on grilling or broiling it, be sure to marinate it overnight to make it as tender as possible.","7-bone steak, center chuck steak",Bos taurus,"['beef top blade steak', 'beef under blade steak']"
18,beef arm roast,"This is just a butcher's blade away from the shoulder roast, and the main difference between the two is that the arm roast has a round bone in it and is slightly more tender. You can use this for a pot roast, or cut it up for stew meat, but it's too tough to cook with dry heat. A steak cut from this roast is called an arm steak.","arm chuck roast, arm pot roast, arm roast, chuck arm roast, round bone pot roast, round bone roast",Bos taurus,"['beef shoulder roast', 'beef bottom round', 'beef cross rib roast']"
