,Name,Description,Also known as,Scientific name,Substitutions
0,almond powder,,,Prunus dulcis,['corn starch']
1,alum,Pickling recipes sometimes call for alum to give pickles extra crunch.,"aluminum potassium sulfate, ammonium aluminum sulphate, potassium aluminum phosphate",,['grape leaves']
2,aluminum foil,"This is an excellent all-purpose wrapper, able to withstand both heat and cold. It's the best choice if you're wrapping foods for freezer storage, since it works better than plastic wrap at preventing moisture loss.",tin foil,,"['plastic wrap', 'wax paper']"
3,American black caviar,"If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.",black sturgeon roe,,"['beluga caviar', 'hackleback roe', 'paddlefish roe', 'lumpfish roe']"
4,apple blossoms,,,Malus domestica,"['peach blossoms', 'plum blossoms']"
5,arrowroot starch,"This starch thickener has several advantages over cornstarch. It has a more neutral flavor, so it's a good thickener for delicately flavored sauces. It also works at a lower temperature, and tolerates acidic ingredients and prolonged cooking better. And while sauces thickened with cornstarch turn into a spongy mess if they're frozen, those made with arrowroot can be frozen and thawed with impunity. The downside is that arrowroot is pricier than cornstarch, and it's not a good thickener for dairy-based sauces, since it turns them slimy. 
Arrowroot also imparts a shiny gloss to foods, and while it can make a dessert sauce glow spectacularly, it can make a meat sauce look eerie and fake. To thicken with arrowroot, mix it with an equal amount of cold water, then whisk the slurry into a hot liquid for about 30 seconds. Look for it in Asian markets and health food stores. Equivalents: One tablespoon thickens one cup of liquid. Substitutes: tapioca starch (very similar) OR Instant ClearJel® OR cornstarch (Cornstarch doesn't impart as glossy a finish and can leave a starchy taste if undercooked.) OR kudzu powder OR potato starch OR rice starch OR flour (Flour makes an opaque sauce, imparts a floury taste, and can easily turn lumpy. Use twice as much flour as arrowroot.)","arrowroot, arrowroot flour, arrowroot powder",,"['tapioca starch', 'Instant Clearjel', 'corn starch', 'kudzu powder', 'potato starch', 'flour', 'rice starch']"
6,baker's ammonia,"Originally made from the ground antlers of reindeer, this is an ancestor of modern baking powder.  Northern Europeans still use it because it makes their springerle and gingerbread cookies very light and crisp.  Unfortunately, it can impart an unpleasant ammonia flavor, so it's best used in cookies and pastries that are small enough to allow the ammonia odor to dissipate while baking.  
Look for it in German or Scandinavian markets, drug stores, baking supply stores, or a mail order catalogue.  Don't confuse this with ordinary household ammonia, which is poisonous.  Varieties:  It comes either as lumps or powder.  If it isn't powdered, crush it into a very fine powder with a mortar and pestle or a rolling pin.","ammonium bicarbonate, ammonium carbonate, baking ammonia, bicarbonate of ammonia, carbonate of ammonia, hartshorn, hartzhorn, hirschhornsalz, hjorthornssalt, powdered baking ammonia, salt of hartshorn, triebsalz",,"['baking powder', 'baking soda']"
7,baking powder,"Baking powder is a mixture of one or more acidic salts and baking soda, an alkali.  These two compounds react when they get wet and release carbon dioxide gas bubbles. These, in turn, cause baked goods to rise.  Baking powder is perishable. To test a batch, add 1 teaspoon to ½ cup hot water. If it doesn't bubble, throw it out.  Look for baking powder among the baking supplies in most supermarkets.
Most recipes that call for baking powder intend for you to use double-acting baking powder.  This includes two acidic salts--one that reacts when wet and one that reacts heated.  By giving the baking soda two chances to react, it usually results in light and airy baked goods.  Less common is single-acting baking powder, which only reacts when it becomes wet. When using this kind of baking powder, you have to get the batter into a preheated oven immediately after you mix the wet and dry ingredients together.  Aluminum-free baking powder is preferred by many cooks; powders made with aluminum lend an unpleasant flavor to delicately-flavored baked goods","double-acting baking powder, single-acting baking powder",,"['cream of tartar', 'cream of tartar', 'buttermilk', 'molasses', ""baker's ammonia""]"
8,baking soda,"Baking soda is alkaline, and when mixed with acidic ingredients, it reacts and releases bubbles of carbon dioxide.  These bubbles, when trapped inside batter, help baked goods rise.  Baking powder contains baking soda, along with acidic salts that react with the soda when they get wet or heated.   Recipes that call for both baking powder and baking soda are probably using the baking soda to offset extra acidity in the batter (from ingredients like buttermilk or molasses) and to weaken the proteins in the flour.  Omitting the baking soda from these recipes may alter the color or flavor of whatever you're baking, and make it less tender.
Tips: Baking soda is used in devil's food cake because it turns the cocoa powder reddish brown.  
Vegetables cooked in water mixed with baking soda don't lose as much color, though the baking soda makes them mushier and causes them to lose vitamin C.  
Sprinkling baking soda on a grease or electrical fire will help extinguish it.
Placing an opened box in the refrigerator or freezer will absorb bad odors 
Baking soda is a good, mildly abrasive scouring powder.
Store baking soda in a cool, dry place.","bicarb, bicarbonate of soda, bread soda, sodium bicarbonate",,['potassium bicarbonate']
9,bamboo leaves,"Southeast Asians use these to wrap and tie rice packets before steaming.  They're hard to find fresh, but Asian markets often carry dried leaves in plastic bags. Soak them in warm water before using to prevent them from cracking.",,,['lotus leaves']
10,banana leaves,"People in the tropics use these huge leaves to line cooking pits and to wrap everything from pigs to rice.  The leaves impart a subtle anise fragrance to food and protect it while it's cooking.  Frozen leaves--once thawed--work just fine.  Boil the leaves before using them to keep them from cracking.  Look for banana leaves among the frozen foods in Asian, Hispanic, or specialty markets.",,Musa acuminata,"['aluminum foil', 'parchment paper', 'corn husks', 'hoja santa leaves', 'ti leaves']"
11,beluga caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Beluga caviar is one of the best and priciest of the caviars. The eggs are large and bluish-grey, and slightly sweet. A pasteurized version is available in jars, but fresh caviar is much better. Malossol (lightly salted) beluga is the finest, and the most expensive. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.",,Huso huso,"['hackleback roe', 'keluga caviar', 'ossetra caviar', 'sevruga caviar', 'paddlefish roe', 'bowfin roe', 'lumpfish roe']"
12,beurre manié,"This flour-butter mixture is used to correct overly thin sauces at the last minute.  To make it, blend equal weights of butter and flour, then knead them together.  After you whisk it into a sauce, let it cook for no more than a minute or two, since sauces thickened with flour pick up a starchy taste after they've cooked for a few minutes.","beurre manie, kneaded butter",,"['roux', 'tapioca starch']"
13,bird's nest,Available at some Chinese markets. The white nests are cleaner and more expensive than the black ones.,dragon's teeth,,[]
14,borage,"Borage is best known for its attractive blue flowers, but Europeans sometimes use the leaves as an herb in salads and soups.  Borage has a mild flavor that's been likened to that of cucumbers.  The leaves are covered with prickly, throat-catching hairs, so it's best to either blanch them or chop them finely before serving them.",starflower,Borago officinalis,"['spinach', 'escarole', 'nasturtium', 'violet', 'rose petals']"
15,bottarga,"This Mediterranean specialty is made from the salted and sun-dried roe of either tuna (bottarga di tonno) or mullet (bottarga di muggine). You usually buy it as a sausage and shave off thin slices for hors d'oeuvres or grate it over pasta, fish, or salads. It's expensive but very tasty.","botarega, botargo, boutarque, salted mullet roe, Sardinian caviar",,"['tarama', 'smoked cod roe']"
16,bowfin roe,"This has small, very dark olive-green eggs with medium firmness. It's an inexpensive, environmentally responsible alternative to the luxury caviars from the Caspian Sea. Consider perking up the flavor with a splash of fresh lemon juice.","American black caviar, black American bowfin caviar, black sturgeon roe, choupique",,"['caviar', 'hackleback roe', 'paddlefish roe']"
17,capelin roe,"Japanese cooks use these tiny, fluorescent eggs as a topping for sushi.",masago,Mallotus villosus,"['flying fish roe', 'golden caviar']"
18,carnation,"Carnations have a peppery flavor. While they're edible, some people may have an allergic reaction to them.",,,"['dianthus', 'impatiens', 'nasturtium']"
19,caviar,"Over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using roe from more abundant species until the Caspian Sea sturgeon populations can recover.Caviar is known for its subtle, buttery flavor, sensuous texture, and high price. It should always be served cold.Just as diamonds are rated according to the four Cs, caviar can be evaluated by the three Fs--flavor, firmness, and freshness. The flavor of caviar depends on the sturgeon's species and habitat, and is variously described as buttery, nutty, sweet, fruity, earthy, briny, and even herbaceous. The firmness of each egg determines how the eggs burst when you squeeze them against the roof of your mouth with your tongue. Fresh caviar is considered much better than the pasteurized version.Varieties: (from highest to lowest price) imperial caviar, beluga caviar, ossetra caviar, and sevruga caviar. Imperial caviar is the rarest and most expensive. Beluga caviar is soft, and almost melts in your mouth. Ossetra and sevruga caviars are relatively firm, and will pop when gently squeezed. Within these categories, malossol, or lightly salted caviar, is of higher quality than pressed caviar = payusnaya.If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.Equivalents: 2 tablespoons = 1 ounceFresh caviar lasts just over a year if properly stored, though its shelf-life can be extended with heavy salting. Experts claim that some of the fresh caviar that's being sold at bargain prices over the Internet is well past its prime. The color and size of the eggs--called the bead--can help you (and your guests) identify the different varieties of caviar.","Malossol caviar, payusnaya caviar, pressed caviar, sturgeon roe",,"['hackleback roe', 'paddlefish roe', 'salmon roe', 'lumpfish roe', 'bowfin roe']"
20,chamomile,,,,['lemon balm']
21,chive flowers,,chive blossoms,Allium schoenoprasum,[]
22,clary,,,,"['nasturtium', 'borage', 'violet']"
23,ClearJel,"This modified cornstarch is the secret ingredient that many commercial bakers use in their fruit pie fillings. Unlike ordinary cornstarch, ClearJel® works well with acidic ingredients, tolerates high temperatures, and doesn't cause pie fillings to weep"" during storage. ClearJel® is an especially good choice if you're canning homemade pie fillings, since it doesn't begin thickening until the liquid begins to cool. This allows the heat the be more evenly distributed within the jar during processing. This is such an important safety advantage that ClearJel® is the only thickener the USDA recommends for home canning. You can also use ClearJel® to thicken sauces, stews, and the like, though it's a rather expensive all-purpose thickener. One downside is that products thickened with ClearJel® tend to break down if they're frozen and thawed. If you plan to freeze what you're making, use Instant ClearJel®, arrowroot, or tapioca starch. ClearJel® is available either as pearls or powder from mail-order suppliers, but it's not yet available in grocery stores.","Clear-jel, ClearJel® starch",,"['Instant Clearjel', 'tapioca starch', 'arrowroot starch', 'corn starch']"
24,cod roe,"Scandinavian markets sell this in tubes, so that it can be extruded onto crackers and such for hors d'oeuvres. It's relatively inexpensive, but very salty.",,Gadidae,[]
25,corn husks,"Hispanic cooks use these, both fresh and dried, to wrap tamales before steaming them.   Before using, soak the husks in hot water for about 30 minutes to make them more pliable.",hoja de maíz,Zea mays,"['banana leaves', 'aluminum foil', 'hoja santa leaves']"
26,corn starch,"One tablespoon (1/4 ounce) thickens one cup of liquid.  Notes:   This silky powder is used to thicken sauces, gravies, and puddings.  Like other starch thickeners, cornstarch should be mixed into a slurry with an equal amount of cold water before it's added to the hot liquid you're trying to thicken.  You then need to simmer the liquid, stirring constantly, for a minute or so until it thickens.   Cornstarch doesn't stand up to freezing or prolonged cooking, and it doesn't thicken well when mixed with acidic liquids.  Cornstarch is called cornflour or maize cornflour in Britain, Australia, and New Zealand.  Don't confuse cornstarch with the finely ground cornmeal that Americans call corn flour","corn starch, cornflour, crème de mais, maize cornflour",Zea mays,"['arrowroot starch', 'Instant Clearjel', 'tapioca starch', 'potato starch', 'kudzu powder', 'flour', 'water chestnut starch', 'almond powder']"
27,corn tortilla,"These thin round wraps are widely used in southern Mexico, and they're the preferred tortilla for making tacos and enchiladas.  They should be served hot.   If you're watching calories, do this by cooking them on a hot, dry frying pan or by wrapping them in moist paper towels and briefly heating them in a microwave oven.  If calories aren't an issue, fry them in oil.  You can make corn tortillas at home if you have a tortilla press.  Just mix masa harina with enough water to make a bread-like dough, press the dough until it's very thin, and then cook the tortilla in a hot, dry frying pan.  Readymade corn tortillas are available in most supermarkets.",,,"['flour tortilla', 'flour', 'corn chips']"
28,cream of tartar,,"potassium acid tartrate, potassium bitartrate",,"['lemon juice', 'vinegar']"
29,daylily,,,,[]
30,dianthus,"These have a clove-like flavor. 
Some people may have an alergic reaction to dianthus.",,Dianthus caryophyllus,['carnation']
31,dumpling wrappers,"These thin round wrappers are used to make the delicate dumplings that are so popular at dim sum restaurants.  They're made to be stuffed and steamed, but they're not sturdy enough to be fried.   While assembling the dumplings, keep the stack of wrappers moist by covering them with a damp towel.  You can seal the dumplings with a ""glue"" made with cornstarch and water.  Look for fresh or frozen wrappers in Asian markets.   Store them in the refrigerator or freezer, but let them come to room temperature before using.","dumpling skins, shao mai skins, shiu mai wrappers, shu mai skins, siu mai skins, su my wrappers",,"['wonton wrappers', 'egg roll wrapers', 'pasta sheet']"
32,egg roll wrapers,"The Chinese use these dough squares to make deep-fried egg rolls.   While assembling the egg rolls, keep the stack of wrappers moist by covering them with a damp towel.  You can seal the rolls with a ""glue"" made with cornstarch and water.   Look for fresh wrappers in Asian markets and many supermarkets.  Store them in the refrigerator or freezer, but let them come to room temperature before using.","egg roll skins, eggroll skins, eggroll wrappers",,"['pasta sheet', 'rice paper', 'phyllo']"
33,egg yolks,"Higher in fat, but increasing the egg yolks in a baked good often makes it moister and more flavorful.
Egg yolks make wonderful thickeners--imparting both a rich flavor and velvety smooth texture--but they're tricky to use.  You can't just whisk them into a simmering sauce--they'd curdle on contact.  Instead, you need to ""temper"" them by adding some of the hot liquid to the egg yolks, whisking the mixture together, and then adding it to the sauce.  To prevent the yolks from coagulating, you need to keep the sauce below 190°, although this rule can be broken if the sauce has a lot of flour in it.  Finally, never cook sauces with egg yolks in aluminum pans or they'll turn gray.",,Gallus gallus domesticus,['egg']
34,empanada wrappers,"Hispanic cooks wrap these six-inch diameter rounds of dough around sweet or savory fillings, and then bake or fry them.   Look for them among the frozen foods in Hispanic markets.",,,"['wonton wrappers', 'pasta sheet']"
35,English primroses,,,,"['pansy', 'impatiens']"
36,fig leaf,These are great for wrapping delicately flavored foods before grilling them.,,Ficus carica,"['lotus leaves', 'grape leaves', 'corn husks']"
37,flour tortilla,"These thin flour wraps from northern Mexico are used to make burritos, chimichangas, fajitas and other Mexican dishes.  They're more pliable than corn tortillas, so they're a good choice if you need to roll or fold the tortillas before cooking them.  Flour tortillas come in different sizes, including small, thick ""fajita tortillas"" to large, thin ""burrito tortillas.""","burrito tortillas, fajita tortillas",,"['corn tortilla', 'chapati']"
38,flying fish roe,These fluorescent orange eggs are wonderfully crunchy and flavorful. The Japanese are particularly fond of them.,"tobikko, tobiko, tobiuonoko",,"['capelin roe', 'golden caviar', 'salmon roe', 'trout caviar']"
39,food coloring,,,,[]
40,geraniums,,,,[]
41,glycerin,,,,[]
42,golden caviar,"This has crunchy, amber-colored eggs and makes a colorful garnish. They're often flavored with various seasonings before they're sold.","American golden caviar, whitefish caviar, whitefish roe",,"['capelin roe', 'flying fish roe', 'lumpfish roe', 'salmon roe', 'trout caviar']"
43,golden needles,,"lily buds, lily flowers, tiger lily buds",,[]
44,grape leaves,"Greeks stuff these with ground lamb and rice to make dolmades, but they're used elsewhere to make pickles and beds for food.  They're hard to find fresh in markets, but you can often find them in cans or jars.  Trim the stems and rinse off the brine before using.  To make your own:  Plunge grape leaves (that haven't been sprayed with harmful chemicals) for one minute in boiling, salted water (2 teaspoons pickling salt per quart), then drain.","grape vine leaves, vine leaves",Vitis vinifera,"['green cabbage', 'bell pepper', 'lettuce', 'mustard greens', 'Swiss chard']"
45,guar gum,This thickener is very popular among people with gluten allergies. Look for it in health food stores.,,,"['xanthan', 'pre-gel starch']"
46,gyoza wrappers,The Japanese use these round wrappers to make pork-stuffed dumplings similar to Chinese potstickers.  Western cooks sometimes use them to make ravioli.,gyoza skins,,"['potsticker wrappers', 'wonton wrappers', 'egg roll wrapers', 'pasta sheet']"
47,gypsum powder,Recipes for ale and mead often call for this.,,,[]
48,hackleback roe,This American caviar comes from farm-raised hacklebacks.,black pearl caviar,,"['sevruga caviar', 'beluga caviar', 'paddlefish roe', 'bowfin roe']"
49,haddock roe,,,Melanogrammus aeglefinus,['shad roe']
50,herring roe,"The Japanese traditionally serve this on New Year's Day. It has an interesting texture, but it's not very flavorful.",,Clupeidae,['shad roe']
51,hollyhock,,,,[]
52,impatiens,These don't have much flavor.,impatients,,['candied flowers']
53,imperial caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations.Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.For substitutions for caviar in general, click here.","golden oscietre, golden ossetra, royal caviar, shah's caviar",,"['ossetra caviar', 'paddlefish roe', 'hackleback roe', 'bowfin roe', 'lumpfish roe']"
54,Instant Clearjel,"This is a modified cornstarch that professional bakers sometimes use to thicken pie fillings. It has several advantages over ordinary cornstarch. Instant ClearJel® thickens without cooking, works well with acidic ingredients, tolerates high temperatures, is freezer-stable, and doesn't cause pie fillings to weep"" during storage. Don't use Instant ClearJel® for canning--it tends to break down.","Clear-jel, ClearJel® starch",,"['ClearJel', 'tapioca starch', 'arrowroot starch', 'corn starch']"
55,Instant flour,"You can mix this granular all-purpose flour into liquids without getting many lumps, so it's perfect for making gravies and batters.  It's also good for breading fish.  Wondra flour and Shake & Blend are popular brands.","instant-blending flour, instantized flour, quick-mixing flour",,"['roux', 'all-purpose flour', 'corn starch']"
56,instant tapioca,"These small, starchy granules are used to make tapioca pudding and to thicken pie fillings. The grains don't dissolve completely when cooked, so puddings and pies thickened with them end up studded with tiny gelatinous balls. If you don't mind the balls, you can also use instant tapioca to thicken soups, gravies, and stews. If the balls are a problem, just pulverize the instant tapioca in a coffee grinder or blender, or buy tapioca starch, which is already finely ground. Instant tapioca tolerates prolonged cooking and freezing, and gives the fillings an attractive glossy sheen. To use it in a pie filling, mix it with the other ingredients, then let it sit for at least five minutes so that the tapioca can absorb some of the liquid. Don't confuse instant tapioca with regular tapioca, which has larger beads, or with the even larger tapioca pearls sold in Asian markets. Minute® tapioca is a well-known brand.","granulated tapioca, instant pearl tapioca, quick tapioca, quick-cooking tapioca, tapioca granules",,"['tapioca', 'tapioca pearls', 'tapioca pearls', 'corn starch', 'arrowroot starch', 'flour']"
57,Jamaica,"Jamaica is another name for the hibiscus flower. Tea made from Jamaica flowers is red, tart and is high in vitamin C. Substitutes: Red Zinger tea","hibiscus flowers, Jamaica sorrel, roselle",Hibiscus syriacus,[]
58,Johnny jump-up,,,,"['pansy', 'violet']"
59,kampyo,"Japanese cooks soak these gourd strips in water, then use them to tie sushi or other food packets.  They're also sometimes cooked and used as an ingredient in sushi. Look for them in Japanese markets.",,,[]
60,kreplach wrappers,"Jewish cooks use these to make kreplach, a kind of Jewish ravioli.",,,"['wonton wrappers', 'pasta sheet']"
61,kudzu powder,"This thickener is made from the tuber of the kudzu, the obnoxious vine that was imported from Japan a number of years ago and is now growing out of control all over the South. It's very expensive, and the main reason to buy it is for its reputed medicinal benefits. It comes in small chunks. To thicken a liquid, crush the chunks into a powder, mix them with an equal amount of cold water, then stir the mixture into the hot liquid and simmer for a few minutes until the sauce is thickened. Look for kudzu in health food stores.",kuzu powder,,"['arrowroot starch', 'corn starch']"
62,lavender,"Cooks use this fragrant flower to flavor jellies, baked goods and grilled meat.",,,['Parfait Amour']
63,lecithin,"Derived from soy beans or egg yolks, nutrient-rich lecithin is a wonder ingredient. It's used in cooking as an emulsifier, preservative, lubricant, and moisturizer. It's a healthful substitute for fat in baked goods, adding moisture and improving texture. Bakers use it as a dough enhancer because it helps give yeast breads more of a rise.   It comes either granulated or as a liquid.",,,['vegetable oil']
64,lemon blossoms,,,Citrus limon,['orange blossoms']
65,lievito di vaniglia,This is an Italian yeast with a delicate vanilla flavor. Look for this in Italian markets.,lievito vanigliato,,['vanilla extract']
66,lilac,,,,['lavender']
67,lobster coral,This roe turns a lovely coral color when cooked.,lobster roe,Nephropidae,"['sea urchin roe', 'caviar']"
68,lotus leaves,"These leaves open up like butterfly wings, each about two feet high.  They're often wrapped around rice and other fillings, to which they impart an earthy aroma when the bundles are steamed.  The leaves are available either fresh or, more commonly, dried in Asian markets.  Soak them for at least an hour in warm water before using, and keep fresh leaves in a cool, dry place or else freeze them.",,Nelumbo nucifera,"['banana leaves', 'parchment paper']"
69,lotus root,"Slices of the lotus root have a beautiful pattern. The fresh version is available sporadically; if not, the canned version is almost as good. Rinse and drain before using. Look for it in Asian markets.","lotus, quangdong, tenno",Nelumbo nucifera,"['water chestnut', 'Jerusalem artichoke', 'jicama']"
70,lumpfish roe,Lumpfish roe is relatively cheap; the eggs come in red or black.,,,"['caviar', 'golden caviar', 'salmon roe', 'smelt roe']"
71,lumpia wrapper,"These thin wrappers are used to make lumpias, a Filipino type of egg roll.",,,"['lettuce', 'egg roll wrapers', 'rice paper', 'pasta sheet']"
72,maguey leaves,These leaves have been used to wrap meat for flavor and to tenderize while cooking.,,,"['banana leaves', 'avocado leaves']"
73,malt powder,"You can make malt powder by allowing whole grains to sprout briefly, drying them, and then grinding them into a powder.  Commercial malt powders are usually made with barley, and they're used extensively by commercial bakers.  There are two main types of malt powder:  diastatic and non-diastatic.  Diastatic malt contains active enzymes which help break starch down into sugar.  The extra sugar feeds the yeast in the dough, helping the bread to rise, and also gives the bread a browner crust.  It's often used to make crusty breads.  Non-diastatic malt doesn't have active enzymes, but it gives baked goods better flavor and a shinier, browner crust. It's used in everything from bagels to croissants to breakfast cereals.  Don't confuse malt powder with malted milk powder, which also contains powdered milk and wheat flour and is used to make beverages.   Look for malt powder in health food stores or baking supply stores.","Diastatic malt, malt flour, Non-diastatic malt",,[]
74,marigold blossom,petals only.,,,['nasturtium']
75,marinades,,,,['Salt']
76,mastic gum,"It's usually sold in the form of small crystals, which you'll need to grind into a powder.  Look for it in Middle Eastern markets.","mistika, mustic gum, mustikah",,[]
77,meat tenderizer,"Various ingredients can be used to tenderize meat. These include vinegar, baking soda, beer or commercial products. Meat can also be tenderized using a mallet.",,,"['mallet', 'papaya']"
78,mimosa blossoms,,,,[]
79,monosodium glutamate,,MSG,,"['kelp powder', 'omit']"
80,nasturtium,,Indian cress,,"['marigold blossom', 'pansy']"
81,orange blossoms,,,Citrus,['lemon blossoms']
82,ossetra caviar,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Ossetra caviar is brown and more strongly flavored than beluga caviar. Don't confuse ordinary ossetra with the rare and expensive golden ossetra = imperial caviar. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.","asetra caviar, ocietra caviar, oscietre caviar",,"['sevruga caviar', 'beluga caviar', 'paddlefish roe', 'hackleback roe', 'bowfin roe', 'lumpfish roe']"
83,paddlefish roe,"Paddlefish swim in Southern rivers and they're relatives of sturgeons--the fish that produce the world's most expensive and exquisite caviars. Paddlefish roe is very similar to sevruga caviar, only it's cheaper. Since Caspian Sea sturgeon are rapidly becoming depleted from over-fishing, many people are turning to paddlefish roe as a substitute for caviar.",grey pearl caviar,Polyodontidae,"['sevruga caviar', 'beluga caviar', 'hackleback roe', 'bowfin roe']"
84,pansy,,,,"['nasturtium', 'violet', 'Johnny jump-up']"
85,papaya leaves,Wrapping meats in these leaves helps tenderize them.,,Carica papaya,['lotus leaves']
86,parchment paper,"This is a heavy, silicone-coated paper that's used to line pans so that candies and baked goods won't stick.  It's an expensive alternative to waxed paper, but it's less sticky, so it's a good choice if you're making gooey items.  Parchment paper is also wrapped around foods to be cooked en papillote, or formed into cones for cake decorating.  Specialty cooking stores and larger supermarkets often carry rolls or sheets of it.  Paper grocery bags are sometimes recommended as a substitute for parchment paper, but it's not advisable to use them. Grocery bags will ignite at 450 degrees, and that they may have been treated with unsafe chemicals.","baking pan liner paper, baking paper, baking parchment, kitchen parchment",,"['wax paper', 'rice paper', 'aluminum foil', 'vegetable oil', 'plastic bag']"
87,peach blossoms,,,Prunus persica,['plum blossoms']
88,pectin,"In order to make preserves like jams and jellies, you normally cook together fruit, acid, sugar, and pectin, a substance found in certain fruits that gels when heated.  Some fruits -- like quinces, gooseberries, tart apples, and sour plums -- contain enough natural pectin that they'll thicken all by themselves into preserves.  Others, like cherries and some berries, need an extra boost to firm up.  Jam recipes for pectin-deficient fruit normally call for liquid or powdered pectin, which you can find among the baking supplies in most supermarkets.  The recipes usually specify what brand of pectin to use, and it's not a good idea to substitute one brand for another, since they have different formulas.  Some brands (like Sure Jell and Certo) need acid and sugar to set, some (like Sure Jell for Low Sugar Recipes) need acid and just a little sugar to set, some (like Pomona's Universal Pectin® or Mrs. Wages Lite Home Jell Fruit Pectin®) don't need any sugar to set.   Liquid pectin contains sulfite, which can cause an allergic reaction in people with sulfite sensitivites, but powdered pectin does not.",,,['gelatin']
89,plastic bag,,,,['plastic wrap']
90,plastic storage bags,,freezer storage bags,,['food storage containers']
91,plastic wrap,"Plastic wrap is terrific for covering foods to be stored in the refrigerator or cooked in the microwave. It clings especially well to glass, ceramic, and china dishes. You can also use it to wrap foods for short-term freezer storage, though you should use aluminum foil if you're storing something in the freezer for a long time since foil is better at preventing moisture loss.",,,"['plastic bag', 'wax paper', 'aluminum foil']"
92,plum blossoms,,,Prunus subg. Prunus,['peach blossoms']
93,pollock roe,Asian markets sell this inexpensive roe in wooden boxes. It's often baked and served on rice.,,Gadus chalcogrammus,[]
94,pot marigold,petals only,,,[]
95,potash,This is sometimes used to make gingerbread and honey cake.  Look for it in German markets.,"pearl ash, potassium carbonate, pottasch, pottasche, saleratus",,['baking soda']
96,potassium bicarbonate,This is used as a substitute for baking soda by people on sodium-restricted diets.  Look for it in pharmacies.,,,['baking soda']
97,potato starch,"This gluten-free starch is used to thicken soups and gravies. Its main advantage over other starch thickeners is that it's a permitted ingredient for Passover, unlike cornstarch and other grain-based foods. Liquids thickened with potato starch should never be boiled.  Supermarkets often stock it among the Kosher products.","katakuriko, potato flour, potato starch flour",Solanum tuberosum,"['corn starch', 'arrowroot starch', 'tapioca starch', 'matzo']"
98,potsticker wrappers,"These small, thick wrappers are stuffed with meat fillings, and then pan-fried and steamed.    While assembling the potstickers, keep the stack of wrappers moist by covering them with a damp towel.  You can seal the potstickers with a ""glue"" made with cornstarch and water.   Look for stacks of them wrapped in plastic in the refrigerator cases of Asian markets.  They freeze well.",potsticker skins,,"['sui kow wrappers', 'dumpling wrappers', 'wonton wrappers', 'egg roll wrapers', 'pasta sheet']"
99,pre-gel starch,,,,"['xanthan', 'guar gum']"
100,ravioli wrappers,,,,"['pasta sheet', 'egg roll wrapers', 'wonton wrappers', 'dumpling wrappers']"
101,rennet,,,,['vegetable rennet']
