,Name,Description,Also known as,Scientific name,Substitutions
0,abalone cap mushroom,,,Pleurotus ostreatus,[]
1,acorn squash,"This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.","Des Moines squash, pepper squash","Cucurbita pepo, turbinata","['buttercup squash', 'butternut squash', 'banana squash', 'turban squash', 'Hubbard squash', 'pumpkin', 'green papaya', 'golden nugget squash']"
2,Agrinion olives,"This is a large, green Greek olive with very tender flesh.",,Olea europaea,[]
3,ají panca chili - dried,"This reddish-brown dried chili is fruity, mild, and a little smoky. ",aji panca chile,Capsicum chinense,['pasilla chili']
4,Aleppo olives,"This is a black, dry-cured Middle Eastern olive that's hard to find in the United States.",,Olea europaea,[]
5,alfalfa sprouts,"These are too wispy to cook, but they're great raw in salads and sandwiches.",lucerne,Medicago sativa,"['sunflower sprouts', 'mung bean sprouts', 'soybean sprouts', 'fenugreek']"
6,Alphonso olives,"This large Chilean olive is cured in a wine or wine vinegar solution, which gives it a beautiful dark purple color and tart flavor. Its flesh is very tender and slightly bitter.",Alfonso olive,Olea europaea,"['Kalamata olives', 'Gaeta olives']"
7,amaranth greens,,"African spinach, calaloo",Amaranthus creuentus,['spinach']
8,American eggplant,"This is the familiar large, dark purple, pear-shaped variety. Choose small or medium-sized eggplants (these have fewer bitter seeds) with healthy-looking green stems that are firm to the touch, but not too hard. Avoid mushy ones. Store them in the refrigerator.",globe eggplant,Solanum melongena,"['Italian eggplant', 'Japanese eggplant']"
9,Amphissa olives,These are dark purple Greek olives that are hard to find in the U.S. They're great for snacking.,"Amfisa olive, Amfissa olive",Olea europaea,"['Kalamata olives', 'Gaeta olives']"
