,Name,Description,Also known as,Scientific name,Substitutions
0,abura-age,"These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.","aburage, inariage, usu-age, usuage",Glycine max,['deep-fried tofu']
1,almond milk,Look for this in aseptic containers. Shake well before using!,,Prunus dulcis,"['vanilla extract', 'rice milk']"
2,atsu-age,"This is a cake of pressed tofu that has been deep-fat fried, giving it a crisp and meaty exterior and a soft interior.  The Japanese like to cut it into cubes and use it in stir-fries and soups.   Before using, you should blanch and drain it, then prick it with a toothpick so that it will better absorb other flavors.  Atsu-age is widely available in Asian markets.","atsuage, nama-age",Glycine max,"['abura-age', 'deep-fried tofu', 'pressed tofu']"
3,awase miso,This is a fairly mild blend of red and white miso that's often used for vegetable soups.,,Glycine max,['white miso']
4,barley miso,"Made from barley, it's reddish-brown in color and a bit sweeter than other dark misos.",mugi miso,Hordeum vulgare,"['awase miso', 'red miso']"
5,bean paste,This name is used for both bean sauce and miso.,miso,,['bean sauce']
6,bean stick,"This is made from the skin that forms on the top of heated soy milk.   It's rich in protein, and used by Chinese and Japanese cooks in soups.  Look for it in Asian food stores.","bamboo yuba, bean curd stick, Chinese yuba, dried bean curd stick, dried bean stick, fu jook pei",Glycine max,['yuba']
7,Beyond Meat™,Plant based meat substitutes.,,,['ground beef']
8,brown rice miso,,genmai miso,Oryza,['bean sauce']
9,cheese substitutes,"Many vegetarians eat cheeses made with milk, though many insist on vegetarian cheeses made without animal rennet. Cheese substitutes, on the other hand, are designed either for people who, because of moral scruples or dietary restrictions, don't wish to consume anything made with milk, or for cost-cutters who want to scrimp on real cheese.There are many brands of cheese substitutes on the market today, and most are made with soybeans, rice, almonds and/or hemp seed. Most are made to taste something like popular milk-based cheeses like Cheddar, Mozzarella, Gouda, American, Provolone, and Jack.Cheese substitutes are blander and more rubbery than real cheeses, but many brands melt fairly well in cooked dishes, especially if grated first. Fake mozzarella comes closest in flavor and texture to the real deal.Fake cheese often contains casein or caseinates, which are derived from milk. These kinds of cheeses won't pass muster with many vegans, but they're a good choice for people trying to restrict their consumption of cholesterol and lactose.Strict vegans should seek out cheeses labeled ""vegan"" or ""dairy-free."" Unfortunately, casein is what makes cheese (real and fake alike) more elastic, so non-dairy cheeses won't pull and stretch properly when melted.","artificial cheese, cheese alternatives, cheese analogues, cheeze, fake cheese, nondairy cheese, phony cheese",,['cheese']
10,coconut butter,,,Cocos nucifera,['grated coconut']
11,coconut cream,Don't confuse this with cream of coconut.,,Cocos nucifera,"['grated coconut', 'grated coconut', 'coconut milk', 'coconut milk', 'coconut extract', 'cream']"
12,coconut extract,,,Cocos nucifera,"['coconut cream', 'coconut milk', 'coconut syrup']"
13,coconut milk,"This is available in liquid form (in cans or aseptic containers), frozen, and as a powder. Don't confuse coconut milk with coconut water, which is the liquid found in the center of a fresh coconut, or with the sweetened cream of coconut powder used in mixed drinks. Varieties: Light (or ""lite"") coconut milk has less fat and about a quarter of the calories of the regular version, but doesn't taste nearly as rich. You can reduce the fat (and calories) in a can of regular coconut milk by letting it settle, and then skimming and discarding some of the thick coconut cream off the top. Lighten what's left even more by diluting it with water or chicken broth. Where to find it: Asian foods section of many supermarkets.",,Cocos nucifera,"['water', 'coconut cream', 'milk 3.5%', 'water', 'coconut', 'coconut cream', 'coconut cream']"
14,coconut water,This is the liquid found inside a coconut.,coconut juice,Cocos nucifera,['coconut']
15,cream of coconut,"Don't confuse this with coconut cream, which is used in Asian dishes. Cream of coconut is thick and very sweet, and commonly used in mixed drinks. Where to find it: liquor stores, available in liquid and powdered forms.",,,['coconut extract']
16,deep-fried tofu,"Frying tofu makes it a chewier and tastier.  Both the Japanese and Chinese have their own ready-made versions of deep-fried tofu, and you can find them in cellophane bags and cans in Asian markets.  You can also make deep-fried tofu yourself by frying thin slabs of firm tofu in hot oil.","deep-fat fried tofu, fried bean curd",Glycine max,"['abura-age', 'atsu-age', 'seitan']"
