,Name,Also known as,Description,Substitutions,Scientific name
0,ababai,,"Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown.","[{'Carbs': '', 'Calories': '10.8 g', 'Salt': '43 Cals.', 'Fats': '8 mg', 'Cholesterol': '0.3 g', 'Vitamin C': '0 mg', 'Calcium': '60.9 mg', 'Protein': '20 mg', 'Sugars': '0.5 g', 'Fiber': '7.8 g', 'Mono fats': '1.7 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.1 g', 'Name': 'papaya'}, {'Carbs': '', 'Calories': '15 g', 'Salt': '60 Cals.', 'Fats': '1 mg', 'Cholesterol': '0.4 g', 'Vitamin C': '0 mg', 'Calcium': '36.4 mg', 'Protein': '11 mg', 'Sugars': '0.8 g', 'Fiber': '13.7 g', 'Mono fats': '1.6 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.1 g', 'Name': 'mango'}]",
1,abalone,"awabi, ear shells, loco, muttonfish, muttonshells, paua, sea ears","Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'ormer'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'geoduck clam'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'conch'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'chicken breast'}]","Haliotidae,  Haliotis"
2,abalone cap mushroom,,,[],Pleurotus ostreatus
3,Abondance,,"This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gruyere'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'fontina'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Appenzell'}]",Bos taurus
4,abruzzese sausage,abruzzo sausage,This a dry sausage from the abruzzo region of central Italy.,[],
5,absinthe,absynthe,"This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Herbsaint'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Pernod'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'anisette'}]",
6,abura-age,"aburage, inariage, usu-age, usuage","These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'deep-fried tofu'}]",Glycine max
7,acerola,"acerola cherry, Barbados cherry, Puerto Rican cherry, West Indian cherry, wild crepe myrtle","These are very rich in vitamin C, and somewhat acidic. You can eat them out of hand, but they're better suited for making preserves.","[{'Carbs': '', 'Calories': '16 g', 'Salt': '63 Cals.', 'Fats': '0 mg', 'Cholesterol': '0.2 g', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '13 mg', 'Sugars': '1.1 g', 'Fiber': '12.8 g', 'Mono fats': '2.1 g', 'Poly fats': '0 g', 'Saturated fats': '0.1 g', 'Name': 'cherry'}]",Malpighia emarginata
8,acesulfame K,"Sunnett, Sweet One",An artifical sweetner. Popular brands are Sunett and Sweet One.,"[{'Carbs': '', 'Name': 'advantame'}, {'Carbs': '', 'Calories': '89.1 g', 'Salt': '365 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '2.2 g', 'Fiber': '80.7 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'aspartame'}, {'Carbs': '', 'Name': 'saccarin'}, {'Carbs': '', 'Calories': '100 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '100 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'sucralose'}, {'Carbs': '', 'Name': 'Neotame'}]",
9,acidophilis milk,,Friendly bacteria is reintroduced into this milk after pasteurization.,"[{'Carbs': '', 'Calories': '0.6 g', 'Salt': '15 Cals.', 'Fats': '71 mg', 'Cholesterol': '1.1 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '197 mg', 'Sugars': '0.6 g', 'Fiber': '0 g', 'Mono fats': '0 g', 'Poly fats': '0.7 g', 'Saturated fats': '0.2 g', 'Name': 'almond milk'}, {'Carbs': '', 'Calories': '4.8 g', 'Salt': '61 Cals.', 'Fats': '43 mg', 'Cholesterol': '3.3 g', 'Vitamin C': '10 mg', 'Calcium': '0 mg', 'Protein': '113 mg', 'Sugars': '3.2 g', 'Fiber': '5.1 g', 'Mono fats': '0 g', 'Poly fats': '0.8 g', 'Saturated fats': '0.2 g', 'Name': 'milk 3.5%'}]",Bos taurus
10,acidulated water,,"This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.","[{'Carbs': '', 'Calories': '0.2 g', 'Salt': '0.7 Cals.', 'Fats': '3.9 mg', 'Cholesterol': '0 g', 'Name': 'water'}]",
11,acini di pepe,peperini,"Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'seme di melone'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'orzo'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'soup pasta'}]",
