,Name,Also known as,Description,Substitutions,Scientific name
0,ababai,,"Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown.","['papaya', 'mango']",
1,abalone,"awabi, ear shells, loco, muttonfish, muttonshells, paua, sea ears","Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.","['ormer', 'geoduck clam', 'conch', 'chicken breast']","Haliotidae,  Haliotis"
2,abalone cap mushroom,,,[],Pleurotus ostreatus
3,Abondance,,"This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.","['Gruyere', 'fontina', 'Appenzell']",Bos taurus
4,abruzzese sausage,abruzzo sausage,This a dry sausage from the abruzzo region of central Italy.,[],
5,absinthe,absynthe,"This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.","['Herbsaint', 'Pernod', 'anisette']",
6,abura-age,"aburage, inariage, usu-age, usuage","These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.",['deep-fried tofu'],Glycine max
7,acerola,"acerola cherry, Barbados cherry, Puerto Rican cherry, West Indian cherry, wild crepe myrtle","These are very rich in vitamin C, and somewhat acidic. You can eat them out of hand, but they're better suited for making preserves.",['cherry'],Malpighia emarginata
8,acesulfame K,"Sunnett, Sweet One",An artifical sweetner. Popular brands are Sunett and Sweet One.,"['advantame', 'aspartame', 'saccarin', 'sucralose', 'Neotame']",
9,acidophilis milk,,Friendly bacteria is reintroduced into this milk after pasteurization.,"['almond milk', 'milk 3.5%']",Bos taurus
10,acidulated water,,"This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.",['water'],
11,acini di pepe,peperini,"Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.","['seme di melone', 'orzo', 'soup pasta']",
